time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/reward,train/explained_variance,train/clip_range,train/approx_kl,train/loss,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/std,train/learning_rate,train/n_updates
269,15,4096,1,0.05944,,,,,,,,,,,
272,30,8192,2,-0.004748219,-0.0809326171875,0.2,0.0034274973,1.4998295307159424,3.496533203125,-0.0072324397973716256,-19.871558380126952,0.0056884765625,1.00101637840271,0.00025,10
