date,stock_id,CostOfGoodsSold,EPS,EquityAttributableToOwnersOfParent_x,IncomeAfterTaxes,IncomeFromContinuingOperations,OtherComprehensiveIncome,Revenue,TAX,TotalConsolidatedProfitForThePeriod,CapitalStock,CapitalStock_per,CapitalSurplus,CapitalSurplus_per,CashAndCashEquivalents,CashAndCashEquivalents_per,CurrentAssets,CurrentAssets_per,Equity,EquityAttributableToOwnersOfParent_y,EquityAttributableToOwnersOfParent_per,Equity_per,NoncurrentAssets,NoncurrentAssets_per,NoncurrentLiabilities,NoncurrentLiabilities_per,OrdinaryShare,OrdinaryShare_per,OtherCurrentLiabilities,OtherCurrentLiabilities_per,OtherEquityInterest,OtherEquityInterest_per,RetainedEarnings,RetainedEarnings_per,TotalAssets,TotalAssets_per,CashBalancesBeginningOfPeriod,CashBalancesEndOfPeriod,CashBalancesIncrease,CashFlowsFromOperatingActivities,CashProvidedByInvestingActivities,CashReceivedThroughOperations,Depreciation,IncomeBeforeIncomeTaxFromContinuingOperations,NetIncomeBeforeTax,PayTheInterest,PropertyAndPlantAndEquipment,sharpe_ratio
2013-05-16,1303.TW,65959474000.0,0.9,7030718000.0,6938975000.0,6938975000.0,1589181000.0,74265110000.0,1265389000.0,8528156000.0,78522986000.0,16.24,22000776000.0,4.55,18172306000.0,3.76,212762441000.0,44.02,262327720000.0,250460311000.0,51.81,54.27,270618737000.0,55.98,135145957000.0,27.96,78522986000.0,16.24,35336958000.0,7.31,26945742000.0,5.57,122992752000.0,25.44,483381178000.0,100.0,25341818000.0,18172306000.0,-7169512000.0,3973084000.0,-26572265000.0,4402635000.0,3723880000.0,8204364000.0,8204364000.0,-319753000.0,-3068833000.0,
2013-08-15,1303.TW,66871747000.0,0.46,3776858000.0,3751211000.0,3751211000.0,8266808000.0,74034602000.0,1290900000.0,12018019000.0,79308216000.0,15.61,21927637000.0,4.32,20947400000.0,4.12,222226359000.0,43.74,272387957000.0,260075148000.0,51.19,53.61,285843620000.0,56.26,135735375000.0,26.72,78522986000.0,15.46,34181125000.0,6.73,35212550000.0,6.93,123628690000.0,24.33,508069979000.0,100.0,25341818000.0,20947400000.0,-4394418000.0,8742373000.0,-39713428000.0,8796236000.0,7418975000.0,13246475000.0,13246475000.0,-844925000.0,-5195707000.0,-0.04789611554680364
2013-11-15,1303.TW,73041897000.0,1.02,8061283000.0,8006380000.0,8006380000.0,485521000.0,82243293000.0,1507208000.0,8491901000.0,79308216000.0,15.39,21979892000.0,4.27,25114232000.0,4.87,227666072000.0,44.18,281024741000.0,268674207000.0,52.14,54.54,287592266000.0,55.82,132330083000.0,25.68,79308216000.0,15.39,42409583000.0,8.23,35698071000.0,6.93,131689973000.0,25.56,515258338000.0,100.0,25341818000.0,25114232000.0,-227586000.0,19686872000.0,-43301311000.0,18634188000.0,11054160000.0,22760063000.0,22760063000.0,-1613495000.0,-7940050000.0,0.09668989508497053
2014-04-01,1303.TW,72465339000.0,0.81,6402729000.0,6367134000.0,6367134000.0,7436606000.0,80462284000.0,1830266000.0,13803740000.0,79308216000.0,15.12,21917718000.0,4.18,24547373000.0,4.68,229600281000.0,43.77,295347551000.0,282451368000.0,53.85,56.31,294909849000.0,56.23,135100555000.0,25.76,79308216000.0,15.12,41622031000.0,7.94,43134677000.0,8.22,138092702000.0,26.33,524510130000.0,100.0,25341818000.0,24547373000.0,-794445000.0,25426536000.0,-46299968000.0,25730148000.0,14744325000.0,30957463000.0,30957463000.0,-2283999000.0,-9757385000.0,0.00873580592080666
2014-05-16,1303.TW,70529634000.0,1.18,9339664000.0,9375600000.0,9375600000.0,-664398000.0,77473959000.0,1082617000.0,8711202000.0,79308216000.0,15.12,21911332000.0,4.18,26635902000.0,5.08,225366486000.0,42.98,304004602000.0,291118451000.0,55.51,57.97,299035267000.0,57.02,136759173000.0,26.08,79308216000.0,15.12,37337489000.0,7.12,42470279000.0,8.1,147432366000.0,28.11,524401753000.0,100.0,24547373000.0,26635902000.0,2088529000.0,2959745000.0,6629327000.0,3530711000.0,3782549000.0,10458217000.0,10458217000.0,-344984000.0,-1876872000.0,0.1155594049506649
2014-08-15,1303.TW,75051584000.0,1.26,10027605000.0,10347759000.0,10347759000.0,17991238000.0,83215022000.0,-1641068000.0,28338997000.0,79308216000.0,14.2,22750394000.0,4.07,30791455000.0,5.51,245688801000.0,43.98,319506186000.0,304907738000.0,54.58,57.19,312950981000.0,56.02,144990007000.0,25.95,79308216000.0,14.2,31845579000.0,5.7,60461517000.0,10.82,142391411000.0,25.49,558639782000.0,100.0,24547373000.0,30791455000.0,6244082000.0,8692550000.0,4572416000.0,9233172000.0,7600715000.0,19138623000.0,19138623000.0,-906818000.0,-3478154000.0,0.15178121487484175
2014-11-15,1303.TW,77002829000.0,1.18,9363598000.0,9644098000.0,9644098000.0,-7580516000.0,84887468000.0,1335224000.0,2063582000.0,79308216000.0,14.75,22732749000.0,4.23,31706517000.0,5.9,225610100000.0,41.95,320979697000.0,306676975000.0,57.03,59.69,312163181000.0,58.05,147490950000.0,27.43,79308216000.0,14.75,21231613000.0,3.95,52881001000.0,9.83,151755009000.0,28.22,537773281000.0,100.0,24547373000.0,31706517000.0,7159144000.0,15250735000.0,18615149000.0,10767684000.0,11420618000.0,30104803000.0,30104803000.0,-1579047000.0,-5433297000.0,-0.14192604572254752
2015-04-01,1303.TW,73842509000.0,0.39,3054412000.0,3449296000.0,3449296000.0,9536657000.0,79896697000.0,922572000.0,12985953000.0,79308216000.0,14.89,22926996000.0,4.3,36632716000.0,6.88,211691231000.0,39.74,334147582000.0,319462290000.0,59.98,62.73,320960296000.0,60.26,126835848000.0,23.81,79308216000.0,14.89,31673535000.0,5.95,62417658000.0,11.71,154809420000.0,29.06,532651527000.0,100.0,24547373000.0,36632716000.0,12085343000.0,20332582000.0,33852763000.0,16670467000.0,15326343000.0,34463529000.0,34463529000.0,-2309531000.0,-6240125000.0,0.10273396590256391
2015-05-16,1303.TW,68480472000.0,1.0,7950168000.0,8169341000.0,8169341000.0,-4207978000.0,79525772000.0,1648631000.0,3961363000.0,79308216000.0,14.87,23158501000.0,4.34,48670254000.0,9.13,217272281000.0,40.75,337221337000.0,322675669000.0,60.52,63.25,315914528000.0,59.25,124690682000.0,23.39,79308216000.0,14.87,32800489000.0,6.15,58530973000.0,10.98,161677979000.0,30.32,533186809000.0,100.0,36632716000.0,48670254000.0,12037538000.0,12359080000.0,4663517000.0,12878916000.0,3993941000.0,9817972000.0,9817972000.0,-257535000.0,-1078502000.0,0.14076221887105134
2015-08-15,1303.TW,69668004000.0,1.59,12558411000.0,12558547000.0,12558547000.0,-12768678000.0,82023829000.0,3419351000.0,-210131000.0,79308216000.0,14.99,23170042000.0,4.38,55474660000.0,10.49,225379705000.0,42.61,318053576000.0,304602600000.0,57.59,60.13,303525669000.0,57.39,117383200000.0,22.19,79308216000.0,14.99,33371011000.0,6.31,46128841000.0,8.72,155995501000.0,29.49,528905374000.0,100.0,36632716000.0,55474660000.0,18841944000.0,28215808000.0,6102238000.0,29187017000.0,8005621000.0,25795870000.0,25795870000.0,-1394293000.0,-2709881000.0,-0.16739071524847876
2015-11-15,1303.TW,64395448000.0,1.26,10035085000.0,10178439000.0,10178439000.0,-590773000.0,71304590000.0,1668273000.0,9587666000.0,79308216000.0,15.18,23389013000.0,4.48,60500025000.0,11.58,215033477000.0,41.16,327865081000.0,314292049000.0,60.17,62.76,307337519000.0,58.84,112223214000.0,21.48,79308216000.0,15.18,36876034000.0,7.06,45564234000.0,8.72,166030586000.0,31.78,522370996000.0,100.0,36632716000.0,60500025000.0,23867309000.0,48852627000.0,-1053568000.0,47533718000.0,12006263000.0,37642582000.0,37642582000.0,-1770299000.0,-5832581000.0,0.004846737468205863
2016-04-01,1303.TW,60915658000.0,0.65,5177682000.0,5175377000.0,5175377000.0,4662132000.0,66927223000.0,826578000.0,9837509000.0,79308216000.0,15.44,23642467000.0,4.6,51911314000.0,10.1,199737404000.0,38.88,337951226000.0,324283742000.0,63.12,65.78,313988572000.0,61.12,109172502000.0,21.25,79308216000.0,15.44,21220618000.0,4.13,51627849000.0,10.05,169705210000.0,33.03,513725976000.0,100.0,36632716000.0,51911314000.0,15278598000.0,63214686000.0,-4444054000.0,62244724000.0,15836101000.0,43644537000.0,43644537000.0,-2315985000.0,-10071962000.0,0.09566073853460037
