date,stock_id,CostOfGoodsSold,EPS,EquityAttributableToOwnersOfParent_x,IncomeAfterTaxes,IncomeFromContinuingOperations,OtherComprehensiveIncome,Revenue,TAX,TotalConsolidatedProfitForThePeriod,CapitalStock,CapitalStock_per,CapitalSurplus,CapitalSurplus_per,CashAndCashEquivalents,CashAndCashEquivalents_per,CurrentAssets,CurrentAssets_per,Equity,EquityAttributableToOwnersOfParent_y,EquityAttributableToOwnersOfParent_per,Equity_per,NoncurrentAssets,NoncurrentAssets_per,NoncurrentLiabilities,NoncurrentLiabilities_per,OrdinaryShare,OrdinaryShare_per,OtherCurrentLiabilities,OtherCurrentLiabilities_per,OtherEquityInterest,OtherEquityInterest_per,RetainedEarnings,RetainedEarnings_per,TotalAssets,TotalAssets_per,CashBalancesBeginningOfPeriod,CashBalancesEndOfPeriod,CashBalancesIncrease,CashFlowsFromOperatingActivities,CashProvidedByInvestingActivities,CashReceivedThroughOperations,Depreciation,IncomeBeforeIncomeTaxFromContinuingOperations,NetIncomeBeforeTax,PayTheInterest,PropertyAndPlantAndEquipment,sharpe_ratio
2013-05-16,2357.TW,98977012000.0,8.04,6053144000.0,6059660000.0,6059660000.0,2123205000.0,114039780000.0,1171747000.0,8182865000.0,7527603000.0,2.84,4559565000.0,1.72,50129937000.0,18.89,210113707000.0,79.19,136229121000.0,134424621000.0,50.66,51.34,55221550000.0,20.81,6204690000.0,2.34,7527603000.0,2.84,3573096000.0,1.35,4583118000.0,1.73,117754335000.0,44.38,265335257000.0,100.0,49608893000.0,50129937000.0,521044000.0,-349872000.0,-514092000.0,-90140000.0,598015000.0,7231407000.0,7231407000.0,-20692000.0,-335525000.0,
2013-08-15,2357.TW,86240342000.0,6.33,4765437000.0,4796077000.0,4796077000.0,2832470000.0,99732991000.0,1089469000.0,7628547000.0,7527603000.0,2.7,4514649000.0,1.62,64557000000.0,23.14,224297158000.0,80.38,129383220000.0,127675260000.0,45.75,46.37,54746524000.0,19.62,6352464000.0,2.28,7527603000.0,2.7,3959833000.0,1.42,7415526000.0,2.66,108217482000.0,38.78,279043682000.0,100.0,49608893000.0,64557000000.0,14948107000.0,9550826000.0,3617979000.0,12307358000.0,1222886000.0,13116953000.0,13116953000.0,-39817000.0,-738580000.0,-0.21155792540355584
2013-11-15,2357.TW,103966625000.0,6.63,4939947000.0,4971519000.0,4971519000.0,-2726445000.0,118809707000.0,1609516000.0,2245074000.0,7527603000.0,2.8,4513237000.0,1.68,47718188000.0,17.77,214377757000.0,79.81,129115504000.0,127357531000.0,47.42,48.07,54219088000.0,20.19,6048668000.0,2.25,7527603000.0,2.8,3090021000.0,1.15,4685249000.0,1.74,113157429000.0,42.13,268596845000.0,100.0,49608893000.0,47718188000.0,-1890705000.0,10824419000.0,2591388000.0,15283201000.0,1876369000.0,19697988000.0,19697988000.0,-63565000.0,-1415474000.0,-0.04685211631598801
2014-04-01,2357.TW,114132463000.0,7.66,5691367000.0,5704408000.0,5704408000.0,2153719000.0,130704029000.0,1623706000.0,7858127000.0,7427603000.0,2.51,4452237000.0,1.5,66524194000.0,22.47,238864019000.0,80.68,136971484000.0,135199502000.0,45.66,46.26,57208736000.0,19.32,8006022000.0,2.7,7427603000.0,2.51,3212577000.0,1.09,6847184000.0,2.31,116472478000.0,39.34,296072755000.0,100.0,49608893000.0,66524194000.0,16915301000.0,29882095000.0,2309820000.0,34541339000.0,2578962000.0,27026102000.0,27026102000.0,-74445000.0,-2328017000.0,0.2192426024189396
2014-05-16,2357.TW,95525468000.0,5.87,4361617000.0,4422418000.0,4422418000.0,3638112000.0,110335999000.0,880876000.0,8060530000.0,7427603000.0,2.55,4451046000.0,1.53,67059395000.0,23.07,230389423000.0,79.25,145029766000.0,143193124000.0,49.26,49.89,60325093000.0,20.75,8094439000.0,2.78,7427603000.0,2.55,3770690000.0,1.3,10480380000.0,3.61,120834095000.0,41.56,290714516000.0,100.0,66524194000.0,67059395000.0,535201000.0,-255362000.0,-1023213000.0,643308000.0,769957000.0,5303294000.0,5303294000.0,-121283000.0,-428135000.0,0.025429348130074615
2014-08-15,2357.TW,89773531000.0,6.45,4788722000.0,4861762000.0,4861762000.0,8305712000.0,105197082000.0,1503583000.0,13167474000.0,7427603000.0,2.35,4449398000.0,1.41,70151873000.0,22.24,245662284000.0,77.88,143588370000.0,141806081000.0,44.95,45.52,69794249000.0,22.12,8988998000.0,2.85,7427603000.0,2.35,3736039000.0,1.18,18790088000.0,5.96,111138992000.0,35.23,315456533000.0,100.0,66524194000.0,70151873000.0,3627679000.0,5330180000.0,-1531418000.0,8056063000.0,1532257000.0,11668639000.0,11668639000.0,-163119000.0,-621440000.0,0.009329351249584809
2014-11-15,2357.TW,106610887000.0,7.82,5811266000.0,5874795000.0,5874795000.0,-493721000.0,123915618000.0,1665611000.0,5381074000.0,7427603000.0,2.35,4449574000.0,1.41,59552591000.0,18.83,248166510000.0,78.47,148956811000.0,147121983000.0,46.52,47.1,68093540000.0,21.53,8568360000.0,2.71,7427603000.0,2.35,5089891000.0,1.61,18294548000.0,5.78,116950258000.0,36.98,316260050000.0,100.0,66524194000.0,59552591000.0,-6971603000.0,7836325000.0,-109808000.0,12074899000.0,2174956000.0,19209045000.0,19209045000.0,-196734000.0,-775104000.0,0.11542973299977692
2015-04-01,2357.TW,120114375000.0,6.07,4508804000.0,4555430000.0,4555430000.0,12010997000.0,137959350000.0,1633039000.0,16566427000.0,7427603000.0,2.11,4452757000.0,1.26,79113855000.0,22.45,274913727000.0,78.01,165523063000.0,163642210000.0,46.43,46.97,77507786000.0,21.99,7911099000.0,2.24,7427603000.0,2.11,6124090000.0,1.74,30317897000.0,8.6,121443953000.0,34.46,352421513000.0,100.0,66524194000.0,79113855000.0,12589661000.0,26202887000.0,-565299000.0,30430135000.0,2725264000.0,25397514000.0,25397514000.0,-205576000.0,-1389990000.0,-0.014004684324094342
2015-05-16,2357.TW,96558310000.0,4.96,3680425000.0,3696992000.0,3696992000.0,6037191000.0,111889517000.0,1214663000.0,9734183000.0,7427603000.0,2.22,4447798000.0,1.33,73629900000.0,22.05,251076094000.0,75.2,175278865000.0,173358529000.0,51.92,52.5,82797130000.0,24.8,8113251000.0,2.43,7427603000.0,2.22,7041480000.0,2.11,36338705000.0,10.88,125144423000.0,37.48,333873224000.0,100.0,79113855000.0,73629900000.0,-5483955000.0,-4452279000.0,-340312000.0,-4422995000.0,365016000.0,4911655000.0,4911655000.0,-55627000.0,-131142000.0,-0.05444895501760055
2015-08-15,2357.TW,92361255000.0,6.27,4658086000.0,4640648000.0,4640648000.0,-1630783000.0,108406938000.0,1563391000.0,3009865000.0,7427603000.0,2.14,4447902000.0,1.28,76014063000.0,21.87,265100236000.0,76.26,165491428000.0,163762687000.0,47.11,47.61,82525020000.0,23.74,7903503000.0,2.27,7427603000.0,2.14,5709739000.0,1.64,34711598000.0,9.99,117175584000.0,33.71,347625256000.0,100.0,79113855000.0,76014063000.0,-3099792000.0,-704415000.0,-820192000.0,1323684000.0,656085000.0,11115694000.0,11115694000.0,-98462000.0,-352925000.0,-0.003351951970894114
