date,stock_id,CostOfGoodsSold,EPS,EquityAttributableToOwnersOfParent_x,IncomeAfterTaxes,IncomeFromContinuingOperations,OtherComprehensiveIncome,Revenue,TAX,TotalConsolidatedProfitForThePeriod,CapitalStock,CapitalStock_per,CapitalSurplus,CapitalSurplus_per,CashAndCashEquivalents,CashAndCashEquivalents_per,CurrentAssets,CurrentAssets_per,Equity,EquityAttributableToOwnersOfParent_y,EquityAttributableToOwnersOfParent_per,Equity_per,NoncurrentAssets,NoncurrentAssets_per,NoncurrentLiabilities,NoncurrentLiabilities_per,OrdinaryShare,OrdinaryShare_per,OtherCurrentLiabilities,OtherCurrentLiabilities_per,OtherEquityInterest,OtherEquityInterest_per,RetainedEarnings,RetainedEarnings_per,TotalAssets,TotalAssets_per,CashBalancesBeginningOfPeriod,CashBalancesEndOfPeriod,CashBalancesIncrease,CashFlowsFromOperatingActivities,CashProvidedByInvestingActivities,CashReceivedThroughOperations,Depreciation,IncomeBeforeIncomeTaxFromContinuingOperations,NetIncomeBeforeTax,PayTheInterest,PropertyAndPlantAndEquipment,sharpe_ratio
2013-05-16,2352.TW,25006312000.0,-0.43,-842004000.0,-771514000.0,-771514000.0,1377392000.0,27505858000.0,82649000.0,605878000.0,19667820000.0,21.9,21447000.0,0.02,12128735000.0,13.51,46706066000.0,52.01,20999498000.0,18856917000.0,21.0,23.39,43088565000.0,47.99,21342231000.0,23.77,19667820000.0,21.9,3099269000.0,3.45,997563000.0,1.11,1823033000.0,2.03,89794631000.0,100.0,8905101000.0,12128735000.0,3223634000.0,-3078481000.0,1551025000.0,-2692811000.0,575475000.0,-688865000.0,-688865000.0,-246627000.0,-352187000.0,
2013-08-15,2352.TW,26023534000.0,0.29,570102000.0,794504000.0,794504000.0,115547000.0,29318794000.0,106579000.0,910051000.0,19667820000.0,21.55,0.0,0.0,11742627000.0,12.87,48422605000.0,53.06,21694917000.0,19317142000.0,21.17,23.77,42837939000.0,46.94,22374330000.0,24.52,19667820000.0,21.55,2846746000.0,3.12,1101520000.0,1.21,1451985000.0,1.59,91260544000.0,100.0,8905101000.0,11742627000.0,2837526000.0,-318280000.0,1285332000.0,342233000.0,1157789000.0,212218000.0,212218000.0,-516187000.0,-730155000.0,-0.061776175067361924
2013-11-15,2352.TW,26871995000.0,0.18,340941000.0,535775000.0,535775000.0,-171437000.0,30040245000.0,117072000.0,364338000.0,19667820000.0,22.24,0.0,0.0,8644573000.0,9.77,45607508000.0,51.57,22062469000.0,19488455000.0,22.03,24.95,42835941000.0,48.43,16990692000.0,19.21,19667820000.0,22.24,2700602000.0,3.05,930610000.0,1.05,1109762000.0,1.25,88443449000.0,100.0,8905101000.0,8644573000.0,-260528000.0,1081608000.0,-142253000.0,1960670000.0,1737260000.0,865065000.0,865065000.0,-763404000.0,-1068620000.0,-0.07098605612994578
2014-04-01,2352.TW,28732421000.0,0.32,640233000.0,847213000.0,847213000.0,476028000.0,32365638000.0,13909000.0,1323241000.0,19667820000.0,21.71,0.0,0.0,11479890000.0,12.67,47181573000.0,52.07,23424708000.0,20551866000.0,22.68,25.85,43430756000.0,47.93,18479938000.0,20.39,19667820000.0,21.71,4755368000.0,5.25,1331522000.0,1.47,447263000.0,0.49,90612329000.0,100.0,8905101000.0,11479890000.0,2574789000.0,5803722000.0,-804425000.0,6961477000.0,2301479000.0,1726187000.0,1726187000.0,-974884000.0,-1949505000.0,0.21629029570878736
2014-05-16,2352.TW,26263875000.0,0.14,284346000.0,423449000.0,423449000.0,186962000.0,29813513000.0,90845000.0,610411000.0,19667820000.0,20.25,1735553000.0,1.79,14532298000.0,14.96,53702474000.0,55.29,27056117000.0,22659817000.0,23.33,27.86,43422477000.0,44.71,12764240000.0,13.14,19667820000.0,20.25,5740239000.0,5.91,1419574000.0,1.46,162917000.0,0.17,97124951000.0,100.0,11479890000.0,14532298000.0,3052408000.0,-4188388000.0,-682335000.0,-3923905000.0,497442000.0,514294000.0,514294000.0,-231474000.0,-436283000.0,-0.0029062102688295543
2014-08-15,2352.TW,29552933000.0,0.43,832852000.0,954568000.0,954568000.0,-536993000.0,33360918000.0,92524000.0,417575000.0,19667820000.0,20.0,1999496000.0,2.03,10667458000.0,10.85,54863977000.0,55.79,27762784000.0,23284888000.0,23.68,28.23,43480903000.0,44.21,14740043000.0,14.99,19667820000.0,20.0,6967763000.0,7.09,947850000.0,0.96,669935000.0,0.68,98344880000.0,100.0,11479890000.0,10667458000.0,-812432000.0,-5978228000.0,-1143909000.0,-5395424000.0,1004074000.0,1561386000.0,1561386000.0,-460414000.0,-379734000.0,0.2602760376662201
2014-11-15,2352.TW,31052375000.0,0.53,1039651000.0,1095062000.0,1095062000.0,623279000.0,34902457000.0,83766000.0,1718341000.0,19667820000.0,18.86,2013524000.0,1.93,9641240000.0,9.24,59843611000.0,57.38,29422958000.0,24823042000.0,23.8,28.21,44444834000.0,42.62,16666392000.0,15.98,19667820000.0,18.86,2981207000.0,2.86,1433008000.0,1.37,1708690000.0,1.64,104288445000.0,100.0,11479890000.0,9641240000.0,-1838650000.0,-5270210000.0,-1767789000.0,-4627077000.0,1495074000.0,2740214000.0,2740214000.0,-657942000.0,-991436000.0,-0.06994139658425096
2015-04-01,2352.TW,31584095000.0,0.41,814219000.0,860060000.0,860060000.0,845013000.0,35434035000.0,87596000.0,1705073000.0,19667820000.0,18.64,1990292000.0,1.89,8988974000.0,8.52,60015768000.0,56.88,31034463000.0,26287017000.0,24.91,29.41,45504362000.0,43.12,17384383000.0,16.47,19667820000.0,18.64,3843296000.0,3.64,2202015000.0,2.09,2426890000.0,2.3,105520130000.0,100.0,11479890000.0,8988974000.0,-2490916000.0,-5256494000.0,-2662433000.0,-4237051000.0,1996479000.0,3687870000.0,3687870000.0,-845445000.0,-1413320000.0,0.03917767667906098
2015-05-16,2352.TW,28960460000.0,0.32,620005000.0,672709000.0,672709000.0,-174281000.0,32428096000.0,104027000.0,498428000.0,19667820000.0,18.81,2000328000.0,1.91,10550741000.0,10.09,59700454000.0,57.09,31562488000.0,26800489000.0,25.63,30.18,44876288000.0,42.91,16950724000.0,16.21,19667820000.0,18.81,3117778000.0,2.98,1955780000.0,1.87,3176561000.0,3.04,104576742000.0,100.0,8988974000.0,10550741000.0,1561767000.0,-1278791000.0,-244165000.0,-1013380000.0,505960000.0,776736000.0,776736000.0,-178861000.0,-402856000.0,-0.30642249507341957
2015-08-15,2352.TW,29474989000.0,0.36,720046000.0,791317000.0,791317000.0,-1032185000.0,33209697000.0,252414000.0,-240868000.0,19667820000.0,19.44,1940718000.0,1.92,9436706000.0,9.33,57009711000.0,56.36,29459705000.0,25317180000.0,25.03,29.12,44151428000.0,43.64,17711003000.0,17.51,19667820000.0,19.44,3098185000.0,3.06,992104000.0,0.98,2716538000.0,2.69,101161139000.0,100.0,8988974000.0,9436706000.0,447732000.0,1390226000.0,-1308116000.0,2059631000.0,1015518000.0,1820467000.0,1820467000.0,-359031000.0,-761645000.0,-0.08913539684082537
