date,stock_id,CostOfGoodsSold,EPS,EquityAttributableToOwnersOfParent_x,IncomeAfterTaxes,IncomeFromContinuingOperations,OtherComprehensiveIncome,Revenue,TAX,TotalConsolidatedProfitForThePeriod,CapitalStock,CapitalStock_per,CapitalSurplus,CapitalSurplus_per,CashAndCashEquivalents,CashAndCashEquivalents_per,CurrentAssets,CurrentAssets_per,Equity,EquityAttributableToOwnersOfParent_y,EquityAttributableToOwnersOfParent_per,Equity_per,NoncurrentAssets,NoncurrentAssets_per,NoncurrentLiabilities,NoncurrentLiabilities_per,OrdinaryShare,OrdinaryShare_per,OtherCurrentLiabilities,OtherCurrentLiabilities_per,OtherEquityInterest,OtherEquityInterest_per,RetainedEarnings,RetainedEarnings_per,TotalAssets,TotalAssets_per,CashBalancesBeginningOfPeriod,CashBalancesEndOfPeriod,CashBalancesIncrease,CashFlowsFromOperatingActivities,CashProvidedByInvestingActivities,CashReceivedThroughOperations,Depreciation,IncomeBeforeIncomeTaxFromContinuingOperations,NetIncomeBeforeTax,PayTheInterest,PropertyAndPlantAndEquipment,sharpe_ratio
2013-05-16,2027.TW,8233062000.0,0.18,121922000.0,126821000.0,126821000.0,349943000.0,9337454000.0,57813000.0,476764000.0,7081803000.0,19.67,1960489000.0,5.45,1532652000.0,4.26,28330834000.0,78.7,12549444000.0,10207899000.0,28.36,34.86,7666525000.0,21.3,12140724000.0,33.73,7081803000.0,19.67,2195537000.0,6.1,52979000.0,0.15,1495156000.0,4.15,35997359000.0,100.0,1243052000.0,1532652000.0,289600000.0,418685000.0,-385997000.0,424051000.0,111226000.0,184634000.0,184634000.0,-137932000.0,-198172000.0,
2013-08-15,2027.TW,8656344000.0,-0.14,-94437000.0,-68638000.0,-68638000.0,-88737000.0,9616479000.0,116870000.0,-157375000.0,7770970000.0,22.13,1133488000.0,3.23,1609779000.0,4.58,27548238000.0,78.44,12254235000.0,9929301000.0,28.27,34.89,7570780000.0,21.56,12286603000.0,34.99,7081803000.0,20.17,1189303000.0,3.39,99306000.0,0.28,1400719000.0,3.99,35119018000.0,100.0,1243052000.0,1609779000.0,366727000.0,1487390000.0,-296393000.0,1518368000.0,224056000.0,232866000.0,232866000.0,-296844000.0,-238497000.0,0.13099746694639305
2013-11-15,2027.TW,8422070000.0,0.02,19463000.0,48998000.0,48998000.0,-213545000.0,9512681000.0,-100000.0,-164547000.0,7770970000.0,21.83,1156117000.0,3.25,2492307000.0,7.0,28014718000.0,78.69,13823387000.0,9800939000.0,27.53,38.83,7588761000.0,21.31,7189524000.0,20.19,7770970000.0,21.83,6043235000.0,16.97,269760000.0,0.76,1420182000.0,3.99,35603479000.0,100.0,1243052000.0,2492307000.0,1249255000.0,1710482000.0,-433695000.0,1778078000.0,331522000.0,281764000.0,281764000.0,-414148000.0,-302728000.0,-0.0783607296369658
2014-04-01,2027.TW,8676792000.0,0.23,175357000.0,210158000.0,210158000.0,101329000.0,10142853000.0,44299000.0,311487000.0,7770970000.0,20.31,1148888000.0,3.0,1828222000.0,4.78,30225879000.0,78.99,14107019000.0,10064780000.0,26.3,36.87,8038174000.0,21.01,14546006000.0,38.01,7770970000.0,20.31,627503000.0,1.64,174436000.0,0.46,1595928000.0,4.17,38264053000.0,100.0,1243052000.0,1828222000.0,585170000.0,-164805000.0,-1105981000.0,-202127000.0,451607000.0,536221000.0,536221000.0,-556708000.0,-496610000.0,0.11248271255256269
2014-05-16,2027.TW,9859690000.0,0.21,156269000.0,212564000.0,212564000.0,343414000.0,11593841000.0,130178000.0,555978000.0,7770970000.0,19.74,1133488000.0,2.88,1920007000.0,4.88,31293272000.0,79.48,14482711000.0,10427182000.0,26.48,36.79,8076897000.0,20.52,14609157000.0,37.11,7770970000.0,19.74,778040000.0,1.98,71900000.0,0.18,1727394000.0,4.39,39370169000.0,100.0,1828222000.0,1920007000.0,91785000.0,247683000.0,-141128000.0,362075000.0,115390000.0,342742000.0,342742000.0,-124318000.0,-121114000.0,0.3118253685047817
2014-08-15,2027.TW,10456614000.0,0.86,662070000.0,744042000.0,744042000.0,-343695000.0,13127549000.0,243532000.0,400347000.0,7770970000.0,19.47,715082000.0,1.79,1924106000.0,4.82,32063530000.0,80.33,14537015000.0,10673571000.0,26.74,36.42,7852150000.0,19.67,13955625000.0,34.96,7770970000.0,19.47,1165682000.0,2.92,202073000.0,0.51,2389592000.0,5.99,39915680000.0,100.0,1828222000.0,1924106000.0,95884000.0,466331000.0,-152019000.0,561230000.0,234127000.0,1330316000.0,1330316000.0,-256575000.0,-218387000.0,0.14137106574083624
2014-11-15,2027.TW,10814202000.0,1.1,849798000.0,894323000.0,894323000.0,254442000.0,13475118000.0,329104000.0,1148765000.0,7770970000.0,18.46,715082000.0,1.7,2364640000.0,5.62,34416293000.0,81.74,15685780000.0,11742516000.0,27.89,37.25,7689526000.0,18.26,13945498000.0,33.12,7770970000.0,18.46,1478034000.0,3.51,17074000.0,0.04,3239390000.0,7.69,42105819000.0,100.0,1828222000.0,2364640000.0,536418000.0,965255000.0,-101106000.0,1163656000.0,351699000.0,2553743000.0,2553743000.0,-390032000.0,-252772000.0,-0.04499353854625748
2015-04-01,2027.TW,10782855000.0,0.27,217062000.0,280104000.0,280104000.0,544502000.0,12615251000.0,80463000.0,824606000.0,7770970000.0,17.05,715082000.0,1.57,1980940000.0,4.35,37187239000.0,81.59,16510386000.0,12380240000.0,27.16,36.22,8392692000.0,18.41,15324658000.0,33.62,7770970000.0,17.05,1543707000.0,3.39,468956000.0,1.03,3425232000.0,7.51,45579931000.0,100.0,1828222000.0,1980940000.0,152718000.0,-750678000.0,-776819000.0,-278895000.0,475717000.0,2914310000.0,2914310000.0,-515156000.0,-369605000.0,0.11057917408610247
2015-05-16,2027.TW,11925258000.0,0.07,51420000.0,87717000.0,87717000.0,-382266000.0,13443393000.0,-45885000.0,-294549000.0,7770970000.0,16.29,715082000.0,1.5,2419179000.0,5.07,39144316000.0,82.07,16215837000.0,12162318000.0,25.5,34.0,8550015000.0,17.93,17634957000.0,36.97,7770970000.0,16.29,1382712000.0,2.9,199614000.0,0.42,3476652000.0,7.29,47694331000.0,100.0,1980940000.0,2419179000.0,438239000.0,-1528692000.0,-719285000.0,-1465363000.0,121342000.0,41832000.0,41832000.0,-159289000.0,-298931000.0,-0.30879801875469204
2015-08-15,2027.TW,11552915000.0,-0.03,-24036000.0,30648000.0,30648000.0,-202296000.0,13242183000.0,372419000.0,-171648000.0,8081809000.0,17.06,715082000.0,1.51,2028981000.0,4.28,38939101000.0,82.2,15214778000.0,11282638000.0,23.82,32.12,8434799000.0,17.8,18838737000.0,39.77,7770970000.0,16.4,1186812000.0,2.51,37158000.0,0.08,2675518000.0,5.65,47373900000.0,100.0,1980940000.0,2028981000.0,48041000.0,-1544829000.0,-985101000.0,-1215369000.0,243064000.0,444899000.0,444899000.0,-329624000.0,-347033000.0,-0.12026471192585522
