date,stock_id,CostOfGoodsSold,EPS,EquityAttributableToOwnersOfParent_x,IncomeAfterTaxes,IncomeFromContinuingOperations,OtherComprehensiveIncome,Revenue,TAX,TotalConsolidatedProfitForThePeriod,CapitalStock,CapitalStock_per,CapitalSurplus,CapitalSurplus_per,CashAndCashEquivalents,CashAndCashEquivalents_per,CurrentAssets,CurrentAssets_per,Equity,EquityAttributableToOwnersOfParent_y,EquityAttributableToOwnersOfParent_per,Equity_per,NoncurrentAssets,NoncurrentAssets_per,NoncurrentLiabilities,NoncurrentLiabilities_per,OrdinaryShare,OrdinaryShare_per,OtherCurrentLiabilities,OtherCurrentLiabilities_per,OtherEquityInterest,OtherEquityInterest_per,RetainedEarnings,RetainedEarnings_per,TotalAssets,TotalAssets_per,CashBalancesBeginningOfPeriod,CashBalancesEndOfPeriod,CashBalancesIncrease,CashFlowsFromOperatingActivities,CashProvidedByInvestingActivities,CashReceivedThroughOperations,Depreciation,IncomeBeforeIncomeTaxFromContinuingOperations,NetIncomeBeforeTax,PayTheInterest,PropertyAndPlantAndEquipment,sharpe_ratio
2013-05-16,1504.TW,10099147000.0,0.45,818637000.0,866177000.0,866177000.0,1255077000.0,13265366000.0,359817000.0,2121254000.0,18731194000.0,25.36,6118191000.0,8.28,12830071000.0,17.37,37888427000.0,51.29,41888977000.0,39574622000.0,53.57,56.71,35979982000.0,48.71,13480983000.0,18.25,18486709000.0,25.03,2700856000.0,3.66,541085000.0,0.73,15587161000.0,21.1,73868409000.0,100.0,13178775000.0,12830071000.0,-348704000.0,413668000.0,-337519000.0,536081000.0,313108000.0,1225994000.0,1225994000.0,-58796000.0,-286570000.0,
2013-08-15,1504.TW,11548138000.0,0.56,1040258000.0,1160995000.0,1160995000.0,-855181000.0,15023036000.0,410242000.0,305814000.0,19220940000.0,25.21,6627408000.0,8.69,14423676000.0,18.92,40785796000.0,53.5,41929032000.0,38921300000.0,51.06,55.0,35443876000.0,46.5,12791846000.0,16.78,18727172000.0,24.57,2831583000.0,3.71,1311533000.0,1.72,14705324000.0,19.29,76229672000.0,100.0,13178775000.0,14423676000.0,1244901000.0,2256409000.0,-462798000.0,2654265000.0,689262000.0,2797231000.0,2797231000.0,-98223000.0,-498765000.0,0.08338827588815895
2013-11-15,1504.TW,11115111000.0,0.56,1038580000.0,1138617000.0,1138617000.0,-137277000.0,14562674000.0,212501000.0,1001340000.0,19696714000.0,25.92,7097606000.0,9.34,14356932000.0,18.9,40697805000.0,53.56,43890161000.0,40776426000.0,53.67,57.77,35281160000.0,46.44,12631602000.0,16.63,18936796000.0,24.92,2852737000.0,3.75,1439253000.0,1.89,15742922000.0,20.72,75978965000.0,100.0,13178775000.0,14356932000.0,1178157000.0,3957431000.0,-363137000.0,4969224000.0,1065013000.0,4148349000.0,4148349000.0,-191837000.0,-628060000.0,0.04293997796576835
2014-04-01,1504.TW,10375525000.0,0.44,862397000.0,1011467000.0,1011467000.0,511416000.0,13767461000.0,243668000.0,1522883000.0,20026929000.0,26.05,7493180000.0,9.75,14908571000.0,19.39,40843355000.0,53.12,46723974000.0,42863434000.0,55.75,60.77,36046698000.0,46.88,10182303000.0,13.24,19646374000.0,25.55,3389880000.0,4.41,941494000.0,1.22,16606382000.0,21.6,76890053000.0,100.0,13178775000.0,14908571000.0,1729796000.0,6241135000.0,-144928000.0,6804379000.0,1442378000.0,5403484000.0,5403484000.0,-252382000.0,-797726000.0,0.05822007899118123
2014-05-16,1504.TW,10250761000.0,0.44,861255000.0,951144000.0,951144000.0,1301849000.0,13538420000.0,372495000.0,2252993000.0,20026929000.0,25.61,7532922000.0,9.63,14520253000.0,18.57,40774221000.0,52.15,49000587000.0,44978342000.0,57.52,62.67,37415022000.0,47.85,10048223000.0,12.85,20015244000.0,25.6,3373160000.0,4.31,272417000.0,0.35,17467637000.0,22.34,78189243000.0,100.0,14908571000.0,14520253000.0,-388318000.0,120158000.0,-659490000.0,249999000.0,341069000.0,1323639000.0,1323639000.0,-58281000.0,-172023000.0,0.010084440802591275
2014-08-15,1504.TW,10645965000.0,0.74,1470149000.0,1567881000.0,1567881000.0,1007897000.0,14236090000.0,435920000.0,2575778000.0,20026929000.0,24.54,7571121000.0,9.28,15434733000.0,18.91,44004118000.0,53.91,49126762000.0,45278667000.0,55.48,60.19,37615143000.0,46.09,9810974000.0,12.02,20026929000.0,24.54,3266357000.0,4.0,1267356000.0,1.55,16734824000.0,20.5,81619261000.0,100.0,14908571000.0,15434733000.0,526162000.0,2040413000.0,-600341000.0,2459298000.0,718275000.0,3327440000.0,3327440000.0,-113193000.0,-971609000.0,0.11270401943519008
2014-11-15,1504.TW,10053284000.0,0.53,1034208000.0,1126169000.0,1126169000.0,-103321000.0,13449780000.0,293360000.0,1022848000.0,20026929000.0,25.08,7611546000.0,9.53,15844900000.0,19.84,42537704000.0,53.26,50009115000.0,46209085000.0,57.86,62.62,37325256000.0,46.74,10555816000.0,13.22,20026929000.0,25.08,2637048000.0,3.3,1123141000.0,1.41,17769032000.0,22.25,79862960000.0,100.0,14900829000.0,15830811000.0,929982000.0,3851929000.0,-779596000.0,4322829000.0,965598000.0,4746969000.0,4746969000.0,-175843000.0,-1740932000.0,-0.10366528823725545
2015-04-01,1504.TW,9492627000.0,0.35,701312000.0,761037000.0,761037000.0,2386772000.0,12596314000.0,195929000.0,3147809000.0,20026929000.0,24.2,7600552000.0,9.18,17206411000.0,20.79,43266297000.0,52.27,53242671000.0,49224022000.0,59.47,64.32,39505370000.0,47.73,11394547000.0,13.77,20026929000.0,24.2,1800608000.0,2.18,3519564000.0,4.25,18398540000.0,22.23,82771667000.0,100.0,14900829000.0,17201690000.0,2300861000.0,5167400000.0,-780971000.0,5891665000.0,1325539000.0,5699971000.0,5699971000.0,-236784000.0,-1945847000.0,-0.01884415237894541
2015-05-16,1504.TW,8665295000.0,0.37,737106000.0,821563000.0,821563000.0,-1424267000.0,11716314000.0,287384000.0,-602704000.0,20026929000.0,25.31,7607903000.0,9.62,15089115000.0,19.07,41407615000.0,52.34,52724813000.0,48656023000.0,61.5,66.64,37707165000.0,47.66,10122385000.0,12.79,20026929000.0,25.31,1827363000.0,2.31,2161057000.0,2.73,19181697000.0,24.25,79114780000.0,100.0,17201690000.0,15089115000.0,-2112575000.0,-307772000.0,-210281000.0,-291951000.0,307962000.0,1108947000.0,1108947000.0,-44162000.0,-393174000.0,-0.11478712947498267
2015-08-15,1504.TW,9090698000.0,0.46,912961000.0,993048000.0,993048000.0,-217989000.0,12159518000.0,287378000.0,775059000.0,20026929000.0,25.11,7607303000.0,9.54,15435742000.0,19.35,42145627000.0,52.84,51004349000.0,47167976000.0,59.13,63.94,37618471000.0,47.16,8636818000.0,10.83,20026929000.0,25.11,3107483000.0,3.9,1963611000.0,2.46,17891696000.0,22.43,79764098000.0,100.0,17201690000.0,15435742000.0,-1765948000.0,1431787000.0,-770642000.0,1493839000.0,630080000.0,2389373000.0,2389373000.0,-87321000.0,-880649000.0,-0.11009897946529924
