date,stock_id,CostOfGoodsSold,EPS,EquityAttributableToOwnersOfParent_x,IncomeAfterTaxes,IncomeFromContinuingOperations,OtherComprehensiveIncome,Revenue,TAX,TotalConsolidatedProfitForThePeriod,CapitalStock,CapitalStock_per,CapitalSurplus,CapitalSurplus_per,CashAndCashEquivalents,CashAndCashEquivalents_per,CurrentAssets,CurrentAssets_per,Equity,EquityAttributableToOwnersOfParent_y,EquityAttributableToOwnersOfParent_per,Equity_per,NoncurrentAssets,NoncurrentAssets_per,NoncurrentLiabilities,NoncurrentLiabilities_per,OrdinaryShare,OrdinaryShare_per,OtherCurrentLiabilities,OtherCurrentLiabilities_per,OtherEquityInterest,OtherEquityInterest_per,RetainedEarnings,RetainedEarnings_per,TotalAssets,TotalAssets_per,CashBalancesBeginningOfPeriod,CashBalancesEndOfPeriod,CashBalancesIncrease,CashFlowsFromOperatingActivities,CashProvidedByInvestingActivities,CashReceivedThroughOperations,Depreciation,IncomeBeforeIncomeTaxFromContinuingOperations,NetIncomeBeforeTax,PayTheInterest,PropertyAndPlantAndEquipment,sharpe_ratio
2013-05-16,9945.TW,2941939000.0,0.85,833299000.0,953718000.0,953718000.0,-3524344000.0,3539905000.0,45931000.0,-2570626000.0,10236296000.0,18.41,6062500000.0,10.9,2284006000.0,4.11,24332780000.0,43.76,23774776000.0,21147109000.0,38.03,42.76,31272154000.0,56.24,14191023000.0,25.52,10236296000.0,18.41,3343036000.0,6.01,3775495000.0,6.79,8729008000.0,15.7,55604934000.0,100.0,2446884000.0,2284006000.0,-162878000.0,-745702000.0,-395721000.0,-665110000.0,63798000.0,999649000.0,999649000.0,-85504000.0,-98340000.0,
2013-08-15,9945.TW,3106959000.0,1.42,1403569000.0,1536565000.0,1543354000.0,-6117975000.0,3669148000.0,30091000.0,-4581410000.0,10238647000.0,19.53,6071405000.0,11.58,1571595000.0,3.0,25470847000.0,48.59,16189478000.0,13603890000.0,25.95,30.89,26944111000.0,51.41,14729001000.0,28.1,10238647000.0,19.53,3299582000.0,6.3,9751345000.0,18.6,7150383000.0,13.64,52414958000.0,100.0,2446884000.0,1571595000.0,-875289000.0,-1443175000.0,-1195021000.0,-1163218000.0,129242000.0,2573094000.0,2570307000.0,-175445000.0,-219268000.0,0.0883854224485203
2013-11-15,9945.TW,2993219000.0,1.36,1467666000.0,1653195000.0,1634929000.0,-4015504000.0,3608194000.0,59068000.0,-2362309000.0,11794779000.0,21.86,11351590000.0,21.04,3037137000.0,5.63,25833723000.0,47.87,20547393000.0,17653173000.0,32.71,38.08,28128576000.0,52.13,14225829000.0,26.36,11794779000.0,21.86,2703849000.0,5.01,14006045000.0,25.96,8618049000.0,15.97,53962299000.0,100.0,2446884000.0,3037137000.0,590253000.0,298581000.0,-4983573000.0,-47446000.0,192661000.0,4267091000.0,4282570000.0,-255468000.0,-474316000.0,0.057205695788433875
2014-04-01,9945.TW,3100631000.0,25.4,26888180000.0,27091901000.0,27091901000.0,352268000.0,4283937000.0,225717000.0,27444169000.0,11919768000.0,13.89,12550422000.0,14.62,3816666000.0,4.45,28022538000.0,32.65,49464692000.0,46236763000.0,53.88,57.64,57798047000.0,67.35,16077561000.0,18.73,11919768000.0,13.89,2757186000.0,3.21,13829883000.0,16.11,35701656000.0,41.6,85820585000.0,100.0,2446884000.0,3816666000.0,1369782000.0,4988000.0,-6221283000.0,-128341000.0,277877000.0,31584709000.0,31600188000.0,-421081000.0,-512160000.0,-0.1097870963249794
2014-05-16,9945.TW,2392783000.0,0.79,908021000.0,1012411000.0,1012411000.0,2135349000.0,2965491000.0,40593000.0,3147760000.0,11920685000.0,13.07,12568153000.0,13.78,2962102000.0,3.25,26803001000.0,29.38,52591745000.0,49365563000.0,54.11,57.65,64427343000.0,70.62,17604380000.0,19.3,11920685000.0,13.07,3260613000.0,3.57,11627752000.0,12.75,36609677000.0,40.13,91230344000.0,100.0,3816666000.0,2962102000.0,-854564000.0,-304308000.0,-3343585000.0,-203226000.0,63540000.0,1053004000.0,1053004000.0,-115731000.0,-36804000.0,-0.23941899869802566
2014-08-15,9945.TW,2577834000.0,0.32,372590000.0,511518000.0,511518000.0,2709429000.0,3411138000.0,1022635000.0,3220947000.0,11921132000.0,12.29,11908191000.0,12.28,3558100000.0,3.67,28759504000.0,29.65,50714225000.0,47195875000.0,48.65,52.28,68243589000.0,70.35,19246987000.0,19.84,11921132000.0,12.29,3326788000.0,3.43,8977187000.0,9.25,32448939000.0,33.45,97003093000.0,100.0,3816666000.0,3558100000.0,-258566000.0,-691787000.0,-3682061000.0,-290443000.0,128902000.0,2587157000.0,2587157000.0,-225291000.0,-81576000.0,0.19810643736068265
2014-11-15,9945.TW,2404922000.0,2.36,2720084000.0,3005238000.0,3005238000.0,-6481253000.0,3002027000.0,49257000.0,-3476015000.0,11925453000.0,12.89,11943725000.0,12.91,2519234000.0,2.72,27731655000.0,29.98,47217869000.0,43604045000.0,47.13,51.04,64780953000.0,70.02,22498737000.0,24.32,11925453000.0,12.89,3805989000.0,4.11,15294689000.0,16.53,35134756000.0,37.98,92512608000.0,100.0,3816666000.0,2519234000.0,-1297432000.0,202484000.0,-4605500000.0,-573873000.0,195048000.0,5641652000.0,5641652000.0,-345723000.0,-146531000.0,-0.19596746847457985
2015-04-01,9945.TW,2247723000.0,2.22,2567886000.0,2756036000.0,2756036000.0,4753250000.0,2913244000.0,-973880000.0,7509286000.0,11925647000.0,11.88,12716267000.0,12.67,2108863000.0,2.1,27507818000.0,27.4,55543525000.0,51729661000.0,51.53,55.33,72872230000.0,72.6,23634624000.0,23.55,11925647000.0,11.88,4247801000.0,4.23,10541569000.0,10.5,37734516000.0,37.59,100380048000.0,100.0,3816666000.0,2108863000.0,-1707803000.0,70944000.0,-5583665000.0,-474527000.0,262556000.0,7423808000.0,7423808000.0,-575210000.0,-866066000.0,0.041453109343376565
2015-05-16,9945.TW,1662627000.0,1.38,1587767000.0,1669177000.0,1669177000.0,1556792000.0,2165674000.0,67035000.0,3225969000.0,11925914000.0,15.24,12807321000.0,16.37,1832326000.0,2.34,28315014000.0,36.19,32058820000.0,28154951000.0,35.98,40.97,49930202000.0,63.81,26700958000.0,34.12,11925914000.0,15.24,4647982000.0,5.94,10263861000.0,13.12,13790777000.0,17.63,78245216000.0,100.0,2108863000.0,1832326000.0,-276537000.0,-996782000.0,-1415465000.0,-861104000.0,66164000.0,1736212000.0,1736212000.0,-128500000.0,-38533000.0,0.09851394912554881
2015-08-15,9945.TW,1542037000.0,1.34,1545544000.0,1641787000.0,1641787000.0,-3715417000.0,2037114000.0,34976000.0,-2073630000.0,11928487000.0,15.17,12070180000.0,15.35,3160938000.0,4.02,29344115000.0,37.32,24543540000.0,21151760000.0,26.9,31.22,49279923000.0,62.68,25390607000.0,32.29,11928487000.0,15.17,7638283000.0,9.71,14023217000.0,17.84,11281510000.0,14.35,78624038000.0,100.0,2108863000.0,3160938000.0,1052075000.0,-1528361000.0,-1299575000.0,-1079094000.0,176318000.0,3412975000.0,3412975000.0,-281513000.0,-49934000.0,-0.03041082764151269
2015-11-15,9945.TW,3144891000.0,2.81,3496066000.0,3716269000.0,3716269000.0,-7981498000.0,4584709000.0,23935000.0,-4265229000.0,13928513000.0,19.35,17953228000.0,24.94,2212557000.0,3.07,29314391000.0,40.73,28577786000.0,24767090000.0,34.41,39.7,42662782000.0,59.27,27043237000.0,37.57,13928513000.0,19.35,4269706000.0,5.93,21787027000.0,30.27,14777576000.0,20.53,71977173000.0,100.0,2108863000.0,2212557000.0,103694000.0,-597417000.0,-1728675000.0,-1227477000.0,296035000.0,7153179000.0,7153179000.0,-458340000.0,-80467000.0,0.034388667217397674
2016-04-01,9945.TW,2926756000.0,0.93,1369805000.0,1505243000.0,1505243000.0,2767120000.0,4191419000.0,21523000.0,4272363000.0,13934083000.0,18.73,17895684000.0,24.05,2438022000.0,3.28,28502162000.0,38.3,32789361000.0,28775684000.0,38.67,44.07,45906706000.0,61.7,25667750000.0,34.5,13934083000.0,18.73,4172388000.0,5.61,19006902000.0,25.54,16058019000.0,21.58,74408868000.0,100.0,2108863000.0,2438022000.0,329159000.0,1195669000.0,-2174247000.0,763391000.0,417872000.0,8679945000.0,8679945000.0,-655836000.0,-127196000.0,0.013596544220818829
2016-05-16,9945.TW,2118572000.0,1.71,2298300000.0,2376930000.0,2376930000.0,1335025000.0,3038765000.0,82105000.0,3711955000.0,13934083000.0,18.01,17901506000.0,23.13,2381112000.0,3.08,28061155000.0,36.26,36566736000.0,32606914000.0,42.14,47.25,49321916000.0,63.74,23856870000.0,30.83,13934083000.0,18.01,5908708000.0,7.64,17479794000.0,22.59,18356319000.0,23.72,77383071000.0,100.0,2438022000.0,2381112000.0,-56910000.0,-64181000.0,-216898000.0,120450000.0,115662000.0,2459909000.0,2459035000.0,-139870000.0,-84935000.0,-0.3840372155911226
2016-08-15,9945.TW,2515066000.0,0.39,535723000.0,591319000.0,591319000.0,-110290000.0,3076170000.0,59039000.0,481029000.0,13934083000.0,17.69,17865296000.0,22.69,2186491000.0,2.78,28060841000.0,35.63,36625076000.0,33087207000.0,42.02,46.51,50689196000.0,64.37,25005677000.0,31.75,13934083000.0,17.69,5413722000.0,6.87,17499014000.0,22.22,18892042000.0,23.99,78750037000.0,100.0,2438022000.0,2186491000.0,-251531000.0,-446938000.0,-757071000.0,-18526000.0,244594000.0,3108612000.0,3109393000.0,-271562000.0,-122750000.0,0.1930883162246076
2016-11-15,9945.TW,2441571000.0,1.67,2246146000.0,2417539000.0,2417539000.0,-415402000.0,3229771000.0,60247000.0,2002137000.0,13934083000.0,17.57,17864582000.0,22.52,2163155000.0,2.73,27917666000.0,35.2,38605706000.0,34881912000.0,43.98,48.67,51402244000.0,64.8,23964029000.0,30.21,13934083000.0,17.57,5242472000.0,6.61,17949741000.0,22.63,21138188000.0,26.65,79319910000.0,100.0,2438022000.0,2163155000.0,-274867000.0,964145000.0,-927839000.0,836008000.0,369556000.0,5585570000.0,5587179000.0,-408539000.0,-137560000.0,-0.09501895950816205
2017-04-01,9945.TW,2624972000.0,2.13,2860584000.0,3031150000.0,3031150000.0,-5334779000.0,3773250000.0,155262000.0,-2303629000.0,13934083000.0,17.96,17900583000.0,23.08,3327714000.0,4.29,29110204000.0,37.53,36338078000.0,32360169000.0,41.72,46.84,48462888000.0,62.47,17248212000.0,22.23,13934083000.0,17.96,11353165000.0,14.64,23325465000.0,30.07,23956168000.0,30.88,77573092000.0,100.0,2438022000.0,3327714000.0,889692000.0,1330311000.0,-1257148000.0,1332394000.0,490899000.0,8831254000.0,8773591000.0,-537155000.0,-156758000.0,0.02233932811129907
2017-05-16,9945.TW,1892559000.0,0.33,441205000.0,518458000.0,517616000.0,543001000.0,2440160000.0,71977000.0,1061459000.0,13934083000.0,17.25,17880234000.0,22.14,1868971000.0,2.31,31380387000.0,38.85,37379188000.0,33441482000.0,41.41,46.28,49384334000.0,61.15,19143941000.0,23.7,13934083000.0,17.25,10823380000.0,13.4,22665008000.0,28.06,24397373000.0,30.21,80764721000.0,100.0,3327714000.0,1974604000.0,-1353110000.0,-4073128000.0,7508000.0,-3940424000.0,124848000.0,589593000.0,590435000.0,-136160000.0,-45777000.0,-0.017358643999706335
2017-08-15,9945.TW,1864680000.0,0.79,1061646000.0,1156562000.0,1157575000.0,2914917000.0,2381770000.0,49007000.0,4071479000.0,16720900000.0,19.43,17863745000.0,20.76,1686816000.0,1.96,32460900000.0,37.72,41259295000.0,37662145000.0,43.77,47.95,53590444000.0,62.28,18017319000.0,20.94,13934083000.0,16.19,13352125000.0,15.52,19672504000.0,22.86,22855204000.0,26.56,86051344000.0,100.0,3327714000.0,1686816000.0,-1640898000.0,-5250585000.0,-242276000.0,-4785089000.0,251716000.0,1796175000.0,1796004000.0,-278218000.0,-69668000.0,-0.23906164270856872
2017-11-15,9945.TW,2217686000.0,1.68,3023196000.0,3104144000.0,3104144000.0,1646626000.0,3185952000.0,27843000.0,4750770000.0,16720900000.0,18.55,17797392000.0,19.74,1660619000.0,1.84,33089395000.0,36.71,45859403000.0,42276325000.0,46.9,50.88,57049145000.0,63.29,15879748000.0,17.62,16720900000.0,18.55,13266715000.0,14.72,18015167000.0,19.99,25878400000.0,28.71,90138540000.0,100.0,3327714000.0,1660619000.0,-1667095000.0,-4206343000.0,-426027000.0,-4221563000.0,379520000.0,4928162000.0,4927991000.0,-414494000.0,-80046000.0,0.2553700310182745
2018-04-01,9945.TW,2259885000.0,4.11,6638591000.0,6730923000.0,6730923000.0,-343777000.0,2904594000.0,2361889000.0,6387146000.0,16720900000.0,16.05,17986504000.0,17.27,12748547000.0,12.24,44585452000.0,42.8,52648659000.0,48476761000.0,46.54,50.54,59587165000.0,57.2,19869867000.0,19.07,16720900000.0,16.05,7423357000.0,7.13,18396258000.0,17.66,32270815000.0,30.98,104172617000.0,100.0,3327714000.0,12748547000.0,9420833000.0,6716749000.0,-5689496000.0,-4432885000.0,507402000.0,14020974000.0,14020803000.0,-554812000.0,-194425000.0,0.07248982536782002
2018-05-16,9945.TW,2383912000.0,1.63,2634436000.0,2693061000.0,2693061000.0,-12628723000.0,3050184000.0,388768000.0,-9935662000.0,16720900000.0,14.63,17988283000.0,15.74,9751815000.0,8.53,44950613000.0,39.33,61917010000.0,57548109000.0,50.35,54.17,69340254000.0,60.67,18801349000.0,16.45,16720900000.0,14.63,8722742000.0,7.63,10967434000.0,9.6,33911560000.0,29.67,114290867000.0,100.0,12748547000.0,9751815000.0,-2996732000.0,294782000.0,-3150650000.0,428091000.0,127754000.0,3081829000.0,3081829000.0,-145046000.0,-94028000.0,0.14913143354916739
2018-08-15,9945.TW,2740784000.0,2.29,3708833000.0,3844009000.0,3844009000.0,-2128141000.0,3942371000.0,1267892000.0,1715868000.0,16720900000.0,14.66,17988283000.0,15.77,8317844000.0,7.29,41975441000.0,36.81,60115219000.0,55648791000.0,48.8,52.71,72062926000.0,63.19,28175013000.0,24.71,16720900000.0,14.66,8192789000.0,7.18,11554262000.0,10.13,32599070000.0,28.59,114038367000.0,100.0,12748547000.0,8317844000.0,-4430703000.0,-141304000.0,-3581155000.0,2146614000.0,262105000.0,8193730000.0,8193730000.0,-290833000.0,-190016000.0,0.08501943600599675
2018-11-15,9945.TW,2909279000.0,2.32,3078837000.0,3275505000.0,3275505000.0,-7109565000.0,3821598000.0,89918000.0,-3834060000.0,10032540000.0,9.77,18003470000.0,17.54,4987739000.0,4.86,36247902000.0,35.31,49583460000.0,44996024000.0,43.83,48.3,66414563000.0,64.69,26804890000.0,26.11,10032540000.0,9.77,8356699000.0,8.14,18718623000.0,18.23,35763276000.0,34.84,102662465000.0,100.0,12748547000.0,4987739000.0,-7760808000.0,1217324000.0,-490574000.0,2917774000.0,396803000.0,11559153000.0,11559153000.0,-425490000.0,-199185000.0,-0.14364747342431905
2019-04-01,9945.TW,3138375000.0,0.98,509988000.0,634605000.0,634605000.0,-14841330000.0,4045277000.0,92427000.0,-14206725000.0,10032540000.0,11.62,18013510000.0,20.87,3994104000.0,4.63,34920927000.0,40.45,35279014000.0,30896333000.0,35.79,40.87,51399599000.0,59.55,37628148000.0,43.59,10032540000.0,11.62,7203906000.0,8.35,32411659000.0,37.55,35346581000.0,40.95,86320526000.0,100.0,12748547000.0,3994104000.0,-8754443000.0,1798762000.0,89758000.0,3681023000.0,544050000.0,12286185000.0,12286185000.0,-579354000.0,-216765000.0,0.022241976297896825
2019-05-16,9945.TW,2763506000.0,2.22,2154861000.0,2199058000.0,2199058000.0,22631561000.0,3551126000.0,64456000.0,24830619000.0,10032540000.0,8.36,18023329000.0,15.01,4084723000.0,3.4,34036395000.0,28.35,60123733000.0,55666159000.0,46.37,50.08,86014245000.0,71.65,40989189000.0,34.14,10032540000.0,8.36,7436827000.0,6.19,9805778000.0,8.17,37500707000.0,31.24,120050640000.0,100.0,3994104000.0,4084723000.0,90619000.0,1084305000.0,65345000.0,1289856000.0,266162000.0,2263514000.0,2263514000.0,-210494000.0,-22855000.0,-0.28346668667352787
2019-08-15,9945.TW,3434390000.0,3.98,3860735000.0,3953259000.0,3953259000.0,10964547000.0,4394351000.0,118584000.0,14917806000.0,10032540000.0,7.39,18156703000.0,13.37,4312955000.0,3.18,34502700000.0,25.41,73142257000.0,68834989000.0,50.7,53.87,101263961000.0,74.59,45759797000.0,33.7,10032540000.0,7.39,6982267000.0,5.14,2654607000.0,1.96,38075778000.0,28.05,135766661000.0,100.0,3994104000.0,4312955000.0,318851000.0,1030969000.0,-347316000.0,2268370000.0,486698000.0,6335357000.0,6335357000.0,-408833000.0,-67168000.0,0.18142129309259328
2019-11-15,9945.TW,3492043000.0,4.46,4326808000.0,4515167000.0,4515167000.0,8973372000.0,4426787000.0,111248000.0,13488539000.0,10032540000.0,6.76,18148698000.0,12.23,4111031000.0,2.77,34553691000.0,23.29,86635742000.0,82270022000.0,55.45,58.39,113814101000.0,76.71,42441742000.0,28.61,10032540000.0,6.76,7240657000.0,4.88,12426855000.0,8.38,41746568000.0,28.14,148367792000.0,100.0,3994104000.0,4111031000.0,116927000.0,2450966000.0,-731787000.0,3355367000.0,707042000.0,10961772000.0,10961772000.0,-629818000.0,-299599000.0,0.1548923186676036
