date,stock_id,CostOfGoodsSold,EPS,EquityAttributableToOwnersOfParent_x,IncomeAfterTaxes,IncomeFromContinuingOperations,OtherComprehensiveIncome,Revenue,TAX,TotalConsolidatedProfitForThePeriod,CapitalStock,CapitalStock_per,CapitalSurplus,CapitalSurplus_per,CashAndCashEquivalents,CashAndCashEquivalents_per,CurrentAssets,CurrentAssets_per,Equity,EquityAttributableToOwnersOfParent_y,EquityAttributableToOwnersOfParent_per,Equity_per,NoncurrentAssets,NoncurrentAssets_per,NoncurrentLiabilities,NoncurrentLiabilities_per,OrdinaryShare,OrdinaryShare_per,OtherCurrentLiabilities,OtherCurrentLiabilities_per,OtherEquityInterest,OtherEquityInterest_per,RetainedEarnings,RetainedEarnings_per,TotalAssets,TotalAssets_per,CashBalancesBeginningOfPeriod,CashBalancesEndOfPeriod,CashBalancesIncrease,CashFlowsFromOperatingActivities,CashProvidedByInvestingActivities,CashReceivedThroughOperations,Depreciation,IncomeBeforeIncomeTaxFromContinuingOperations,NetIncomeBeforeTax,PayTheInterest,PropertyAndPlantAndEquipment,sharpe_ratio
2013-05-16,2345.TW,4060942000.0,0.13,69454000.0,69243000.0,69243000.0,187267000.0,4844827000.0,28088000.0,256510000.0,5248074000.0,39.93,571482000.0,4.35,3177210000.0,24.18,10443709000.0,79.47,7391832000.0,7382378000.0,56.17,56.24,2698680000.0,20.53,325306000.0,2.48,5248074000.0,39.93,235767000.0,1.79,155083000.0,1.18,1458738000.0,11.1,13142389000.0,100.0,3560093000.0,3177210000.0,-382883000.0,-464013000.0,26400000.0,-436081000.0,83358000.0,97331000.0,97331000.0,-914000.0,-50103000.0,
2013-08-15,2345.TW,5124915000.0,0.38,195719000.0,195007000.0,195007000.0,19369000.0,6134205000.0,35224000.0,214376000.0,5262904000.0,38.25,578667000.0,4.21,3349711000.0,24.34,11032126000.0,80.17,6843772000.0,6833463000.0,49.66,49.73,2728678000.0,19.83,325705000.0,2.37,5262904000.0,38.25,164406000.0,1.19,174493000.0,1.27,868398000.0,6.31,13760804000.0,100.0,3560093000.0,3349711000.0,-210382000.0,-330561000.0,57581000.0,-288197000.0,170707000.0,327562000.0,327562000.0,-1694000.0,-115651000.0,-0.00625273233912977
2013-11-15,2345.TW,4769577000.0,0.26,135585000.0,135419000.0,135419000.0,-153010000.0,5642974000.0,33085000.0,-17591000.0,5292009000.0,41.81,586971000.0,4.64,3078460000.0,24.32,9995044000.0,78.96,6864103000.0,6853690000.0,54.15,54.23,2662962000.0,21.04,297500000.0,2.35,5292009000.0,41.81,170673000.0,1.35,21726000.0,0.17,1003983000.0,7.93,12658006000.0,100.0,3560093000.0,3078460000.0,-481633000.0,133409000.0,150689000.0,209376000.0,257806000.0,496066000.0,496066000.0,-2400000.0,-154431000.0,-0.05363176883011772
2014-04-01,2345.TW,5061426000.0,0.29,157773000.0,156700000.0,156700000.0,49177000.0,6015981000.0,42002000.0,205877000.0,5300619000.0,39.13,591739000.0,4.37,4271163000.0,31.53,11552669000.0,85.28,7088476000.0,7074072000.0,52.22,52.33,1993326000.0,14.72,291537000.0,2.15,5300619000.0,39.13,146738000.0,1.08,64511000.0,0.48,1168202000.0,8.62,13545995000.0,100.0,3560093000.0,4271163000.0,711070000.0,1295870000.0,104374000.0,1415896000.0,339439000.0,694768000.0,694768000.0,-3414000.0,-181505000.0,0.08197684357778935
2014-05-16,2345.TW,4427717000.0,0.36,189195000.0,189003000.0,189003000.0,60691000.0,5251497000.0,10314000.0,249694000.0,5310079000.0,39.95,593289000.0,4.46,4702872000.0,35.38,11331543000.0,85.26,7350760000.0,7334927000.0,55.19,55.31,1959155000.0,14.74,207050000.0,1.56,5310079000.0,39.95,201370000.0,1.52,125161000.0,0.94,1357397000.0,10.21,13290698000.0,100.0,4271163000.0,4702872000.0,431709000.0,-213077000.0,586375000.0,-198499000.0,71541000.0,199317000.0,199317000.0,-646000.0,-38332000.0,0.05775117999724886
2014-08-15,2345.TW,4973589000.0,0.29,153883000.0,153945000.0,153945000.0,-74839000.0,5953234000.0,-5086000.0,79106000.0,5318499000.0,39.53,594499000.0,4.42,4611894000.0,34.27,11535236000.0,85.73,6954729000.0,6938215000.0,51.56,51.68,1920794000.0,14.27,202767000.0,1.51,5318499000.0,39.53,175417000.0,1.3,50341000.0,0.37,1025875000.0,7.62,13456030000.0,100.0,4271163000.0,4611894000.0,340731000.0,-181281000.0,566035000.0,-138967000.0,156838000.0,348176000.0,348176000.0,-1607000.0,-92967000.0,0.06672624278405734
2014-11-15,2345.TW,4497513000.0,0.12,64567000.0,64686000.0,64686000.0,66764000.0,5347132000.0,4163000.0,131450000.0,5333604000.0,40.15,601395000.0,4.53,4430442000.0,33.35,11392831000.0,85.76,7103521000.0,7091552000.0,53.38,53.47,1891944000.0,14.24,86506000.0,0.65,5333604000.0,40.15,170471000.0,1.28,117110000.0,0.88,1090442000.0,8.21,13284775000.0,100.0,4271163000.0,4430442000.0,159279000.0,165278000.0,540537000.0,226903000.0,238093000.0,417025000.0,417025000.0,-2770000.0,-129462000.0,-0.16811126590614772
2015-04-01,2345.TW,5463657000.0,0.44,235890000.0,235602000.0,235602000.0,207761000.0,6296037000.0,51394000.0,443363000.0,5340804000.0,37.76,611368000.0,4.32,4485059000.0,31.71,12211443000.0,86.33,7559869000.0,7552451000.0,53.39,53.44,1933954000.0,13.67,22304000.0,0.16,5340804000.0,37.76,111359000.0,0.79,313350000.0,2.22,1337928000.0,9.46,14145397000.0,100.0,4271163000.0,4485059000.0,213896000.0,85217000.0,422093000.0,162201000.0,316269000.0,704021000.0,704021000.0,-2835000.0,-170192000.0,0.10330137491201029
2015-05-16,2345.TW,4107180000.0,0.21,109575000.0,109497000.0,109497000.0,-53781000.0,4947159000.0,9349000.0,55716000.0,5342879000.0,40.6,620926000.0,4.72,4490318000.0,34.12,11325345000.0,86.06,7627218000.0,7619935000.0,57.9,57.96,1835004000.0,13.94,21326000.0,0.16,5342879000.0,40.6,149478000.0,1.14,259626000.0,1.97,1447503000.0,11.0,13160349000.0,100.0,4485059000.0,4490318000.0,5259000.0,312229000.0,-143756000.0,359364000.0,78466000.0,118846000.0,118846000.0,-720000.0,-50522000.0,-0.21093087538618283
2015-08-15,2345.TW,5082361000.0,0.42,225359000.0,225319000.0,225319000.0,-49746000.0,6130601000.0,42479000.0,175573000.0,5349329000.0,37.83,645643000.0,4.57,5362901000.0,37.93,12418683000.0,87.83,7258914000.0,7251698000.0,51.28,51.34,1721387000.0,12.17,19097000.0,0.14,5349329000.0,37.83,169282000.0,1.2,209999000.0,1.49,1097726000.0,7.76,14140070000.0,100.0,4485059000.0,5362901000.0,877842000.0,1308581000.0,-200073000.0,1344269000.0,154485000.0,386644000.0,386644000.0,-1086000.0,-76212000.0,-0.035767259307945234
2015-11-15,2345.TW,5224719000.0,0.71,380015000.0,379984000.0,379984000.0,165078000.0,6542650000.0,144630000.0,545062000.0,5349329000.0,34.9,643107000.0,4.2,5836368000.0,38.08,13717825000.0,89.49,7801543000.0,7793835000.0,50.85,50.9,1610369000.0,10.51,18024000.0,0.12,5349329000.0,34.9,213363000.0,1.39,374657000.0,2.44,1477741000.0,9.64,15328194000.0,100.0,4485059000.0,5836368000.0,1351309000.0,2141986000.0,-309206000.0,2183544000.0,228624000.0,911258000.0,911258000.0,-855000.0,-76226000.0,0.40018603675407916
2016-04-01,2345.TW,5632529000.0,0.85,451392000.0,451135000.0,451135000.0,-105538000.0,7118350000.0,120511000.0,345597000.0,5369759000.0,35.83,654795000.0,4.37,5382528000.0,35.91,13507434000.0,90.12,8179363000.0,8171824000.0,54.52,54.57,1480103000.0,9.88,26317000.0,0.18,5369759000.0,35.83,201720000.0,1.35,279107000.0,1.86,1919162000.0,12.81,14987537000.0,100.0,4485059000.0,5382528000.0,897469000.0,1950546000.0,-527429000.0,2031631000.0,299715000.0,1482904000.0,1482904000.0,-734000.0,-111687000.0,0.09656522548965644
2016-05-16,2345.TW,4554270000.0,0.74,398316000.0,398116000.0,398116000.0,-106971000.0,5927809000.0,84741000.0,291145000.0,5377554000.0,36.17,661831000.0,4.45,4455376000.0,29.96,13441558000.0,90.4,8485446000.0,8478151000.0,57.02,57.07,1427862000.0,9.6,24753000.0,0.17,5377554000.0,36.17,192891000.0,1.3,172287000.0,1.16,2317478000.0,15.59,14869420000.0,100.0,5382528000.0,4455376000.0,-927152000.0,-299378000.0,-600293000.0,-241938000.0,71370000.0,482857000.0,482857000.0,0.0,-65477000.0,0.054925933918735854
2016-08-15,2345.TW,5984291000.0,0.9,478559000.0,478534000.0,478534000.0,-62780000.0,7420476000.0,170131000.0,415754000.0,5381244000.0,35.67,672696000.0,4.46,4347724000.0,28.82,13708532000.0,90.86,7858584000.0,7852094000.0,52.04,52.09,1379227000.0,9.14,29412000.0,0.19,5381244000.0,35.67,251334000.0,1.67,109490000.0,0.73,1739663000.0,11.53,15087759000.0,100.0,5382528000.0,4347724000.0,-1034804000.0,210250000.0,-1100845000.0,378065000.0,140566000.0,1131522000.0,1131522000.0,0.0,-120602000.0,0.15163448416123154
2016-11-15,2345.TW,6102413000.0,0.89,480344000.0,480339000.0,480339000.0,-139434000.0,7591313000.0,122477000.0,340905000.0,5437079000.0,35.9,710282000.0,4.69,5033944000.0,33.24,13787297000.0,91.04,8292588000.0,8286291000.0,54.72,54.76,1356190000.0,8.96,27393000.0,0.18,5437079000.0,35.9,263968000.0,1.74,30078000.0,0.2,2220007000.0,14.66,15143487000.0,100.0,5382528000.0,5033944000.0,-348584000.0,1939748000.0,-933215000.0,2157602000.0,205012000.0,1734338000.0,1734338000.0,0.0,-154345000.0,-0.07134250485231519
2017-04-01,2345.TW,6721776000.0,0.98,530694000.0,530510000.0,530510000.0,-37464000.0,8429155000.0,227126000.0,493046000.0,5454429000.0,31.16,725710000.0,4.15,6521194000.0,37.26,16185953000.0,92.47,8838734000.0,8812437000.0,50.35,50.5,1317898000.0,7.53,26684000.0,0.15,5454429000.0,31.16,270974000.0,1.55,62306000.0,0.36,2745603000.0,15.69,17503851000.0,100.0,5382528000.0,6521194000.0,1138666000.0,3650046000.0,-1294799000.0,3889531000.0,268143000.0,2491974000.0,2491974000.0,8000.0,-207730000.0,0.2379443057890605
2017-05-16,2345.TW,6847482000.0,1.19,648395000.0,648163000.0,648163000.0,-254226000.0,8562229000.0,193844000.0,393937000.0,5465854000.0,29.88,730428000.0,3.99,4858625000.0,26.56,16965509000.0,92.73,9248814000.0,9223146000.0,50.41,50.55,1330106000.0,7.27,25271000.0,0.14,5465854000.0,29.88,176343000.0,0.96,316135000.0,1.73,3393998000.0,18.55,18295615000.0,100.0,6521194000.0,4858625000.0,-1662569000.0,-837675000.0,-702091000.0,-794796000.0,48111000.0,842007000.0,842007000.0,0.0,-31715000.0,-0.0525744077485433
2017-08-15,2345.TW,7036256000.0,1.17,635719000.0,635684000.0,635684000.0,67684000.0,8825077000.0,222147000.0,703368000.0,5470089000.0,30.72,739871000.0,4.15,5123076000.0,28.77,16433040000.0,92.27,8251904000.0,8245676000.0,46.3,46.34,1375733000.0,7.73,25049000.0,0.14,5470089000.0,30.72,226014000.0,1.27,248469000.0,1.4,2335184000.0,13.11,17808773000.0,100.0,6521194000.0,5123076000.0,-1398118000.0,-1183433000.0,-70142000.0,-840627000.0,123506000.0,1699838000.0,1699838000.0,0.0,-111105000.0,0.14862817109522228
2017-11-15,2345.TW,7164581000.0,1.2,653440000.0,651305000.0,651305000.0,24881000.0,8872130000.0,95544000.0,676186000.0,5528709000.0,31.2,771563000.0,4.35,3994351000.0,22.54,16352104000.0,92.28,9021296000.0,9014342000.0,50.87,50.91,1367931000.0,7.72,24787000.0,0.14,5528709000.0,31.2,233270000.0,1.32,223555000.0,1.26,2988624000.0,16.87,17720035000.0,100.0,6521194000.0,3994351000.0,-2526843000.0,-1563753000.0,648231000.0,-1025167000.0,184990000.0,2446687000.0,2446687000.0,-58000.0,-157526000.0,0.1686443560646203
2018-04-01,2345.TW,8212403000.0,1.12,621753000.0,619377000.0,619377000.0,-16098000.0,10187321000.0,172014000.0,603279000.0,5544949000.0,29.58,776739000.0,4.14,3944104000.0,21.04,17444289000.0,93.05,9648581000.0,9641807000.0,51.43,51.47,1302729000.0,6.95,30289000.0,0.16,5544949000.0,29.58,246941000.0,1.32,235127000.0,1.25,3606245000.0,19.24,18747018000.0,100.0,6521194000.0,3944104000.0,-2577090000.0,-1083157000.0,81610000.0,-550908000.0,251704000.0,3238078000.0,3238078000.0,-58000.0,-215248000.0,0.014396516437647517
