date,stock_id,CostOfGoodsSold,EPS,EquityAttributableToOwnersOfParent_x,IncomeAfterTaxes,IncomeFromContinuingOperations,OtherComprehensiveIncome,Revenue,TAX,TotalConsolidatedProfitForThePeriod,CapitalStock,CapitalStock_per,CapitalSurplus,CapitalSurplus_per,CashAndCashEquivalents,CashAndCashEquivalents_per,CurrentAssets,CurrentAssets_per,Equity,EquityAttributableToOwnersOfParent_y,EquityAttributableToOwnersOfParent_per,Equity_per,NoncurrentAssets,NoncurrentAssets_per,NoncurrentLiabilities,NoncurrentLiabilities_per,OrdinaryShare,OrdinaryShare_per,OtherCurrentLiabilities,OtherCurrentLiabilities_per,OtherEquityInterest,OtherEquityInterest_per,RetainedEarnings,RetainedEarnings_per,TotalAssets,TotalAssets_per,CashBalancesBeginningOfPeriod,CashBalancesEndOfPeriod,CashBalancesIncrease,CashFlowsFromOperatingActivities,CashProvidedByInvestingActivities,CashReceivedThroughOperations,Depreciation,IncomeBeforeIncomeTaxFromContinuingOperations,NetIncomeBeforeTax,PayTheInterest,PropertyAndPlantAndEquipment,sharpe_ratio
2013-05-16,2454.TW,13884058000.0,2.79,3740904000.0,3735766000.0,3735766000.0,3254807000.0,23974209000.0,186315000.0,6990573000.0,13493939000.0,6.14,79685711000.0,36.28,94091283000.0,42.84,123765880000.0,56.35,182461645000.0,182437692000.0,83.06,83.07,95884133000.0,43.65,1942571000.0,0.88,13493702000.0,6.14,1229218000.0,0.56,1923449000.0,0.88,91237461000.0,41.54,219650013000.0,100.0,85867210000.0,94091283000.0,8224073000.0,3057317000.0,73945000.0,2825880000.0,298954000.0,3922081000.0,3922081000.0,-12864000.0,-549594000.0,
2013-08-15,2454.TW,18891225000.0,5.01,6722963000.0,6716448000.0,6716448000.0,1270224000.0,33276043000.0,426860000.0,7986672000.0,13494088000.0,5.69,68251635000.0,28.76,107225081000.0,45.18,141101773000.0,59.45,178352968000.0,178314988000.0,75.13,75.14,96251601000.0,40.55,2142560000.0,0.9,13493939000.0,5.69,861279000.0,0.36,660499000.0,0.28,97285734000.0,40.99,237353374000.0,100.0,85867210000.0,107225081000.0,21357871000.0,12977818000.0,-676798000.0,13014016000.0,609221000.0,11065389000.0,11065389000.0,-43401000.0,-848637000.0,0.0074454760216844445
2013-11-15,2454.TW,21867352000.0,6.28,8428301000.0,8416227000.0,8416227000.0,-1807920000.0,39007788000.0,618870000.0,6608307000.0,13494667000.0,5.67,68376380000.0,28.71,107616875000.0,45.18,143292712000.0,60.16,185099473000.0,185056690000.0,77.69,77.71,94902138000.0,39.84,2125245000.0,0.89,13494088000.0,5.67,1279429000.0,0.54,2472422000.0,1.04,105714035000.0,44.38,238194850000.0,100.0,85867210000.0,107616875000.0,21749665000.0,22949213000.0,-1050545000.0,20715911000.0,910388000.0,20100486000.0,20100486000.0,-76239000.0,-1248503000.0,0.159393016747274
2014-04-01,2454.TW,21607735000.0,6.43,8622884000.0,8616209000.0,8616209000.0,1536714000.0,39797914000.0,830127000.0,10152923000.0,13497140000.0,5.22,68474910000.0,26.48,132997726000.0,51.42,161740929000.0,62.54,195353399000.0,195315206000.0,75.52,75.53,96895933000.0,37.46,1898871000.0,0.73,13494667000.0,5.22,1375797000.0,0.53,895749000.0,0.35,114294875000.0,44.19,258636862000.0,100.0,85867210000.0,132997726000.0,47130516000.0,39572721000.0,-2214302000.0,36904518000.0,1182191000.0,29546822000.0,29546822000.0,-125582000.0,-1628684000.0,0.07290110432859787
2014-05-16,2454.TW,23779339000.0,6.82,10147366000.0,10139341000.0,10139341000.0,1117999000.0,46005002000.0,1361623000.0,11257340000.0,15709889000.0,5.26,88050023000.0,29.49,166999036000.0,55.94,210883898000.0,70.64,228398339000.0,228338337000.0,76.48,76.5,87659354000.0,29.36,1614694000.0,0.54,15708379000.0,5.26,1299960000.0,0.44,192154000.0,0.06,124442241000.0,41.68,298543252000.0,100.0,132997726000.0,166999036000.0,34001310000.0,9140266000.0,31181898000.0,8858937000.0,303702000.0,11500964000.0,11500964000.0,-95187000.0,-602933000.0,0.13648361925108024
2014-08-15,2454.TW,27309245000.0,8.07,12558406000.0,12548608000.0,12548608000.0,-3104474000.0,54133047000.0,1604605000.0,9444134000.0,15710215000.0,4.85,88089501000.0,27.2,190138131000.0,58.71,236391886000.0,72.99,214316954000.0,214280344000.0,66.17,66.18,87465024000.0,27.01,1789456000.0,0.55,15709889000.0,4.85,1334787000.0,0.41,2898726000.0,0.9,113435324000.0,35.03,323856910000.0,100.0,132997726000.0,190138131000.0,57140405000.0,22183997000.0,31204161000.0,24459922000.0,607225000.0,25654177000.0,25654177000.0,-179639000.0,-1290118000.0,0.030008326400444974
2014-11-15,2454.TW,29238133000.0,8.52,13299240000.0,13301237000.0,13301237000.0,3463195000.0,57472148000.0,1612328000.0,16764432000.0,15714455000.0,4.69,87900019000.0,26.23,185070345000.0,55.23,243526329000.0,72.68,230979290000.0,230850401000.0,68.89,68.93,91556683000.0,27.32,1720619000.0,0.51,15710215000.0,4.69,1510476000.0,0.45,557333000.0,0.17,126734564000.0,37.82,335083012000.0,100.0,132997726000.0,185070345000.0,52072619000.0,33925717000.0,26513937000.0,36697428000.0,958315000.0,40567742000.0,40567742000.0,-307746000.0,-3073986000.0,-0.06417299675938501
2015-04-01,2454.TW,28867578000.0,6.63,10392880000.0,10409887000.0,10409887000.0,5792038000.0,55452719000.0,1372326000.0,16201925000.0,15714922000.0,4.48,88047914000.0,25.08,192797506000.0,54.91,248554935000.0,70.79,247605747000.0,247168148000.0,70.39,70.52,102563736000.0,29.21,1893086000.0,0.54,15714455000.0,4.48,714144000.0,0.2,6606113000.0,1.88,136855169000.0,38.98,351118671000.0,100.0,132997726000.0,192797506000.0,59799780000.0,44329774000.0,17801767000.0,47195931000.0,1312641000.0,52349955000.0,52349955000.0,-485217000.0,-9828126000.0,-0.029079310108757028
2015-05-16,2454.TW,25037623000.0,4.62,7225621000.0,7250997000.0,7250997000.0,-1341116000.0,47536221000.0,891186000.0,5909881000.0,15715763000.0,4.32,88133136000.0,24.22,196143151000.0,53.91,252763449000.0,69.47,253620025000.0,253142264000.0,69.58,69.71,111070150000.0,30.53,2055315000.0,0.56,15714922000.0,4.32,552055000.0,0.15,5268545000.0,1.45,144080790000.0,39.6,363833599000.0,100.0,192797506000.0,196143151000.0,3345645000.0,5999970000.0,-6955301000.0,5648948000.0,414281000.0,8142183000.0,8142183000.0,-132980000.0,-4510686000.0,-0.09488553150549142
2015-08-15,2454.TW,25447682000.0,4.06,6350223000.0,6377407000.0,6377407000.0,-379472000.0,47044056000.0,1029745000.0,5997935000.0,15715818000.0,4.23,88191328000.0,23.75,195824210000.0,52.73,256141174000.0,68.97,225437834000.0,224582201000.0,60.48,60.71,115214322000.0,31.03,2223718000.0,0.6,15715763000.0,4.23,1032185000.0,0.28,4874709000.0,1.31,115856316000.0,31.2,371355496000.0,100.0,192797506000.0,195824210000.0,3026704000.0,4554419000.0,-12135998000.0,8848375000.0,836576000.0,15549335000.0,15549335000.0,-189678000.0,-5976486000.0,-0.19606353152364434
