date,stock_id,CostOfGoodsSold,EPS,EquityAttributableToOwnersOfParent_x,IncomeAfterTaxes,IncomeFromContinuingOperations,OtherComprehensiveIncome,Revenue,TAX,TotalConsolidatedProfitForThePeriod,CapitalStock,CapitalStock_per,CapitalSurplus,CapitalSurplus_per,CashAndCashEquivalents,CashAndCashEquivalents_per,CurrentAssets,CurrentAssets_per,Equity,EquityAttributableToOwnersOfParent_y,EquityAttributableToOwnersOfParent_per,Equity_per,NoncurrentAssets,NoncurrentAssets_per,NoncurrentLiabilities,NoncurrentLiabilities_per,OrdinaryShare,OrdinaryShare_per,OtherCurrentLiabilities,OtherCurrentLiabilities_per,OtherEquityInterest,OtherEquityInterest_per,RetainedEarnings,RetainedEarnings_per,TotalAssets,TotalAssets_per,CashBalancesBeginningOfPeriod,CashBalancesEndOfPeriod,CashBalancesIncrease,CashFlowsFromOperatingActivities,CashProvidedByInvestingActivities,CashReceivedThroughOperations,Depreciation,IncomeBeforeIncomeTaxFromContinuingOperations,NetIncomeBeforeTax,PayTheInterest,PropertyAndPlantAndEquipment,sharpe_ratio
2013-05-16,3481.TW,107836876000.0,0.19,1683707000.0,1682830000.0,1682830000.0,4030619000.0,116847723000.0,6012000.0,5713449000.0,91019608000.0,16.31,123242760000.0,22.08,42652394000.0,7.64,174705011000.0,31.3,191891691000.0,190268583000.0,34.09,34.38,383425982000.0,68.7,151458210000.0,27.14,91019608000.0,16.31,72906482000.0,13.06,698253000.0,0.13,23295532000.0,4.17,558130993000.0,100.0,40897977000.0,42652394000.0,1754417000.0,16671772000.0,-1790434000.0,16848819000.0,20259536000.0,1688842000.0,1688842000.0,-1407627000.0,-4455555000.0,
2013-08-15,3481.TW,97763696000.0,0.46,4070800000.0,4068637000.0,4068637000.0,-1447301000.0,111567095000.0,180914000.0,2621336000.0,91019608000.0,17.28,95976285000.0,18.22,37882475000.0,7.19,159077928000.0,30.2,194647544000.0,193116865000.0,36.67,36.96,367605757000.0,69.8,137026938000.0,26.02,91019608000.0,17.28,55123721000.0,10.47,1962516000.0,0.37,8083488000.0,1.53,526683685000.0,100.0,40897977000.0,37882475000.0,-3015502000.0,39305568000.0,-1819224000.0,39725670000.0,39883236000.0,5938393000.0,5938393000.0,-2758554000.0,-9079575000.0,-0.2114914306412266
2013-11-15,3481.TW,87021961000.0,0.07,685645000.0,683047000.0,683047000.0,-250179000.0,97095958000.0,244409000.0,432868000.0,91016708000.0,17.7,96017792000.0,18.67,40920556000.0,7.96,163430483000.0,31.78,195211690000.0,193681681000.0,37.66,37.96,350879802000.0,68.22,127137907000.0,24.72,91016708000.0,17.7,66843809000.0,13.0,2121952000.0,0.41,8769133000.0,1.71,514310285000.0,100.0,40897977000.0,40920556000.0,22579000.0,57201451000.0,-7249256000.0,58011681000.0,58254358000.0,6865849000.0,6865849000.0,-3938655000.0,-13909671000.0,-0.14623448576734036
2014-04-01,3481.TW,92348852000.0,-0.15,-1337584000.0,-1339495000.0,-1339495000.0,526378000.0,97219724000.0,116999000.0,-813117000.0,91094288000.0,17.92,96058741000.0,18.9,44137818000.0,8.69,171701969000.0,33.79,194577854000.0,193043229000.0,37.99,38.29,336498916000.0,66.21,13036280000.0,2.57,91094288000.0,17.92,171406952000.0,33.73,1531497000.0,0.3,7421697000.0,1.46,508200885000.0,100.0,40897977000.0,44137818000.0,3239841000.0,75889159000.0,-12161047000.0,76863471000.0,75549643000.0,5643353000.0,5643353000.0,-5586134000.0,-18370343000.0,0.01499583469104175
2014-05-16,3481.TW,83933056000.0,0.02,152560000.0,152955000.0,152955000.0,918722000.0,89558900000.0,9192000.0,1071677000.0,91064572000.0,18.68,96124031000.0,19.72,36244705000.0,7.44,163533078000.0,33.55,195738690000.0,194212353000.0,39.84,40.16,323917081000.0,66.45,100527608000.0,20.62,91064572000.0,18.68,58088054000.0,11.92,550507000.0,0.11,7574257000.0,1.55,487450159000.0,100.0,44137818000.0,36244705000.0,-7893113000.0,8674209000.0,1568252000.0,8957779000.0,16013619000.0,162147000.0,162147000.0,-1113597000.0,-4168926000.0,0.10881091010704064
2014-08-15,3481.TW,99260263000.0,0.33,3011222000.0,3010092000.0,3010092000.0,-868729000.0,111064490000.0,406083000.0,2141363000.0,91064572000.0,19.59,97206330000.0,20.91,24903724000.0,5.36,152388247000.0,32.78,196609453000.0,195085095000.0,41.97,42.29,312470595000.0,67.22,76990078000.0,16.56,91064572000.0,19.59,65897748000.0,14.18,1351810000.0,0.29,8166003000.0,1.76,464858842000.0,100.0,44137818000.0,24903724000.0,-19234094000.0,39760159000.0,-4271679000.0,40141884000.0,30955552000.0,3578322000.0,3578322000.0,-2159028000.0,-8836888000.0,0.17310369874064863
2014-11-15,3481.TW,98525614000.0,0.79,7358547000.0,7359509000.0,7359509000.0,605145000.0,113091500000.0,387861000.0,7964654000.0,99554076000.0,21.68,99561442000.0,21.69,34575186000.0,7.53,156775577000.0,34.15,215440498000.0,213959586000.0,46.6,46.93,302339512000.0,65.85,66166822000.0,14.41,99554076000.0,21.68,66878384000.0,14.57,680481000.0,0.15,15524549000.0,3.38,459115089000.0,100.0,44137818000.0,34575186000.0,-9562632000.0,65448596000.0,-7530127000.0,65923603000.0,45385266000.0,11325692000.0,11325692000.0,-2959769000.0,-14585898000.0,0.03099695742207729
2015-04-01,3481.TW,96557964000.0,1.17,11154430000.0,11154352000.0,11154352000.0,2504355000.0,114947008000.0,54296000.0,13658707000.0,99545364000.0,20.63,99584369000.0,20.64,70989741000.0,14.71,189380812000.0,39.25,229171436000.0,227690063000.0,47.19,47.5,293135743000.0,60.75,54209621000.0,11.23,99545364000.0,20.63,68166820000.0,14.13,1927656000.0,0.4,26632674000.0,5.52,482516555000.0,100.0,44137818000.0,70989741000.0,26851923000.0,104212037000.0,-13183151000.0,104980099000.0,59387107000.0,22534340000.0,22534340000.0,-3608923000.0,-20526552000.0,0.05829323369021452
2015-05-16,3481.TW,82413810000.0,0.87,8650607000.0,8649289000.0,8649289000.0,-1445244000.0,100157867000.0,1410940000.0,7204045000.0,99542240000.0,23.45,99602249000.0,23.47,42332691000.0,9.97,145539799000.0,34.29,236422063000.0,234969894000.0,55.36,55.7,278927060000.0,65.71,62267502000.0,14.67,99542240000.0,23.45,18199314000.0,4.29,542124000.0,0.13,35283281000.0,8.31,424466859000.0,100.0,70989741000.0,42332691000.0,-28657050000.0,25212426000.0,-2632239000.0,25407166000.0,13804148000.0,10060229000.0,10060229000.0,-728931000.0,-6609101000.0,0.14443200170202672
2015-08-15,3481.TW,78158603000.0,0.55,5406294000.0,5406121000.0,5406121000.0,2593761000.0,93755186000.0,1936835000.0,7999882000.0,99537972000.0,24.73,99635240000.0,24.75,44073514000.0,10.95,143147113000.0,35.56,237535218000.0,236084848000.0,58.65,59.01,259402450000.0,64.44,52628379000.0,13.07,99537972000.0,24.73,18511299000.0,4.6,3169249000.0,0.79,33742387000.0,8.38,402549563000.0,100.0,70989741000.0,44073514000.0,-26916227000.0,42242523000.0,-5894170000.0,42498723000.0,27247650000.0,17403185000.0,17403185000.0,-1014252000.0,-10392212000.0,-0.19488960048396498
2015-11-15,3481.TW,77983670000.0,0.35,3481886000.0,3481924000.0,3481924000.0,1534208000.0,88756324000.0,599667000.0,5016132000.0,99535828000.0,25.13,99629609000.0,25.15,45232082000.0,11.42,144710483000.0,36.54,241125135000.0,241125135000.0,60.88,60.88,251356028000.0,63.46,44486697000.0,11.23,99535828000.0,25.13,19063962000.0,4.81,4735425000.0,1.2,37224273000.0,9.4,396066511000.0,100.0,70989741000.0,45232082000.0,-25757659000.0,63363249000.0,-10659238000.0,63760793000.0,40097125000.0,21484776000.0,21484776000.0,-1364495000.0,-14648753000.0,-0.01290308106288076
2016-04-01,3481.TW,78936796000.0,-0.68,-6723193000.0,-6723193000.0,-6723193000.0,-2175529000.0,81463607000.0,97604000.0,-8898722000.0,99532372000.0,25.69,99643564000.0,25.72,52522790000.0,13.56,138866987000.0,35.84,232264723000.0,232264723000.0,59.95,59.95,248575349000.0,64.16,44706150000.0,11.54,99532372000.0,25.69,17492567000.0,4.51,2750337000.0,0.71,30338450000.0,7.83,387442336000.0,100.0,70989741000.0,52522790000.0,-18466951000.0,81064293000.0,-20802751000.0,81782413000.0,52338066000.0,14859187000.0,14859187000.0,-1628841000.0,-24511490000.0,0.07006601140932675
2016-05-16,3481.TW,60454580000.0,-0.86,-8581508000.0,-8581508000.0,-8581508000.0,-882994000.0,56417120000.0,47928000.0,-9464502000.0,99526816000.0,28.33,99645204000.0,28.37,38254605000.0,10.89,108812385000.0,30.98,222810292000.0,222810292000.0,63.43,63.43,242445976000.0,69.02,36560388000.0,10.41,99526816000.0,28.33,17461275000.0,4.97,1881330000.0,0.54,21756942000.0,6.19,351258361000.0,100.0,52522790000.0,38254605000.0,-14268185000.0,-2655053000.0,-5626505000.0,-2252304000.0,11144615000.0,-8533580000.0,-8533580000.0,-281217000.0,-7459407000.0,-0.4603347511092321
2016-08-15,3481.TW,65250163000.0,-0.35,-3475528000.0,-3475528000.0,-3475528000.0,-2658908000.0,66805188000.0,605421000.0,-6134436000.0,99523512000.0,28.49,99645958000.0,28.53,39627002000.0,11.35,110483838000.0,31.63,214685446000.0,214685446000.0,61.46,61.46,238804533000.0,68.37,36730103000.0,10.52,99523512000.0,28.49,17637700000.0,5.05,775628000.0,0.22,16291604000.0,4.66,349288371000.0,100.0,52522790000.0,39627002000.0,-12895788000.0,3330505000.0,-11740397000.0,4623814000.0,21292296000.0,-11403687000.0,-11403687000.0,-534896000.0,-14317389000.0,0.18836078507870055
