date,stock_id,CostOfGoodsSold,EPS,EquityAttributableToOwnersOfParent_x,IncomeAfterTaxes,IncomeFromContinuingOperations,OtherComprehensiveIncome,Revenue,TAX,TotalConsolidatedProfitForThePeriod,CapitalStock,CapitalStock_per,CapitalSurplus,CapitalSurplus_per,CashAndCashEquivalents,CashAndCashEquivalents_per,CurrentAssets,CurrentAssets_per,Equity,EquityAttributableToOwnersOfParent_y,EquityAttributableToOwnersOfParent_per,Equity_per,NoncurrentAssets,NoncurrentAssets_per,NoncurrentLiabilities,NoncurrentLiabilities_per,OrdinaryShare,OrdinaryShare_per,OtherCurrentLiabilities,OtherCurrentLiabilities_per,OtherEquityInterest,OtherEquityInterest_per,RetainedEarnings,RetainedEarnings_per,TotalAssets,TotalAssets_per,CashBalancesBeginningOfPeriod,CashBalancesEndOfPeriod,CashBalancesIncrease,CashFlowsFromOperatingActivities,CashProvidedByInvestingActivities,CashReceivedThroughOperations,Depreciation,IncomeBeforeIncomeTaxFromContinuingOperations,NetIncomeBeforeTax,PayTheInterest,PropertyAndPlantAndEquipment,sharpe_ratio
2013-05-16,2912.TW,33467063000.0,1.94,2021859000.0,2268424000.0,2268424000.0,184982000.0,48374210000.0,534226000.0,2453406000.0,10396223000.0,12.6,890233000.0,1.08,19527039000.0,23.67,45321977000.0,54.93,26606524000.0,23023494000.0,27.91,32.25,37184207000.0,45.07,8598673000.0,10.42,10396223000.0,12.6,3498456000.0,4.24,561998000.0,0.68,11175040000.0,13.54,82506184000.0,100.0,20024944000.0,19527039000.0,-497905000.0,458864000.0,-1697779000.0,459808000.0,1033968000.0,2802650000.0,2802650000.0,-17515000.0,-1975374000.0,
2013-08-15,2912.TW,33950070000.0,2.22,2302861000.0,2600649000.0,2600649000.0,-25125000.0,49548404000.0,673743000.0,2575524000.0,10396223000.0,12.07,890233000.0,1.03,21724815000.0,25.23,49231596000.0,57.17,23402319000.0,20259062000.0,23.52,27.17,36886958000.0,42.83,9094133000.0,10.56,10396223000.0,12.07,3780072000.0,4.39,536873000.0,0.62,8435733000.0,9.8,86118554000.0,100.0,20024944000.0,21724815000.0,1699871000.0,5088061000.0,-2544284000.0,6138557000.0,2090007000.0,6077042000.0,6077042000.0,-47368000.0,-3138273000.0,0.09139584577447066
2013-11-15,2912.TW,35442955000.0,2.16,2241968000.0,2559367000.0,2559367000.0,-103474000.0,52372791000.0,626792000.0,2455893000.0,10396223000.0,12.56,890233000.0,1.08,18441338000.0,22.28,46013017000.0,55.59,25826561000.0,22397556000.0,27.06,31.2,36755773000.0,44.41,9077320000.0,10.97,10396223000.0,12.56,3667915000.0,4.43,433399000.0,0.52,10677701000.0,12.9,82768790000.0,100.0,20024944000.0,18441338000.0,-1583606000.0,7615602000.0,-3490289000.0,9296112000.0,3134624000.0,9263201000.0,9263201000.0,-68666000.0,-4161132000.0,-0.07348512472830973
2014-04-01,2912.TW,34328692000.0,1.41,1470064000.0,1813853000.0,1813853000.0,-128761000.0,50315434000.0,215742000.0,1685092000.0,10396223000.0,12.45,890234000.0,1.07,21008243000.0,25.16,46451616000.0,55.63,27498440000.0,23739876000.0,28.43,32.93,37046352000.0,44.37,8862950000.0,10.61,10396223000.0,12.45,3897155000.0,4.67,567263000.0,0.68,11886156000.0,14.24,83497968000.0,100.0,20024944000.0,21008243000.0,983299000.0,13174462000.0,-5330463000.0,14884809000.0,4277453000.0,11292796000.0,11292796000.0,-73699000.0,-5228040000.0,0.06945308653741661
2014-05-16,2912.TW,34054819000.0,2.86,2969808000.0,3208147000.0,3208147000.0,-1739000.0,49787544000.0,508396000.0,3206408000.0,10396223000.0,12.35,873330000.0,1.04,21525674000.0,25.56,46726294000.0,55.49,30306424000.0,26691041000.0,31.7,35.99,37483721000.0,44.51,7849206000.0,9.32,10396223000.0,12.35,3862519000.0,4.59,577621000.0,0.69,14843867000.0,17.63,84210015000.0,100.0,21008243000.0,21525674000.0,517431000.0,980821000.0,-600360000.0,967004000.0,1177566000.0,3716543000.0,3716543000.0,-21460000.0,-1970791000.0,0.17617846355925665
2014-08-15,2912.TW,34861759000.0,2.11,2195076000.0,2490977000.0,2490977000.0,-66094000.0,51652948000.0,644293000.0,2424883000.0,10396223000.0,11.74,6555000.0,0.01,24010017000.0,27.11,50723261000.0,57.27,25708088000.0,22582289000.0,25.5,29.03,37843035000.0,42.73,7930579000.0,8.95,10396223000.0,11.74,3819800000.0,4.31,507046000.0,0.57,11672465000.0,13.18,88566296000.0,100.0,20235519000.0,23298223000.0,3062704000.0,6858398000.0,-2109043000.0,7203826000.0,2309971000.0,6718456000.0,6718456000.0,-52418000.0,-3220221000.0,0.000902086517047225
2014-11-15,2912.TW,36890516000.0,2.38,2481301000.0,2797242000.0,2797242000.0,41452000.0,54609078000.0,640357000.0,2838694000.0,10396223000.0,11.99,6555000.0,0.01,22757695000.0,26.24,48324327000.0,55.71,28536336000.0,25105042000.0,28.94,32.9,38416973000.0,44.29,8165907000.0,9.41,10396223000.0,11.99,3827180000.0,4.41,548498000.0,0.63,14153766000.0,16.32,86741300000.0,100.0,21008243000.0,22757695000.0,1749452000.0,14279474000.0,-4096670000.0,15845616000.0,3658695000.0,10289412000.0,10289412000.0,-74479000.0,-4884611000.0,0.002450558003474831
2015-04-01,2912.TW,35243759000.0,1.39,1439830000.0,1746389000.0,1746389000.0,-29361000.0,51939451000.0,573975000.0,1717028000.0,10396223000.0,11.84,7031000.0,0.01,22369629000.0,25.47,48726267000.0,55.48,30297909000.0,26515968000.0,30.19,34.5,39103106000.0,44.52,8369024000.0,9.53,10396223000.0,11.84,3916060000.0,4.46,708434000.0,0.81,15404280000.0,17.54,87829373000.0,100.0,20235519000.0,21450797000.0,1215278000.0,14492387000.0,-5411017000.0,15509712000.0,4755170000.0,12348724000.0,12348724000.0,-99829000.0,-6090022000.0,0.04992192101427141
2015-05-16,2912.TW,33004716000.0,2.03,2109156000.0,2367042000.0,2367042000.0,-62446000.0,48248674000.0,488744000.0,2304596000.0,10396223000.0,11.78,7094000.0,0.01,22594714000.0,25.6,49132729000.0,55.67,32578781000.0,28559247000.0,32.36,36.91,39129045000.0,44.33,8267540000.0,9.37,10396223000.0,11.78,3776720000.0,4.28,645911000.0,0.73,17510019000.0,19.84,88261774000.0,100.0,21450797000.0,22594714000.0,1143917000.0,2492273000.0,-2062422000.0,2485760000.0,1244688000.0,2855786000.0,2855786000.0,-23563000.0,-1968992000.0,-0.1133028917384
2015-08-15,2912.TW,34747867000.0,2.09,2171000000.0,2470828000.0,2470828000.0,-129035000.0,51391231000.0,650591000.0,2341793000.0,10396223000.0,11.36,7094000.0,0.01,24824267000.0,27.12,52725530000.0,57.61,26810537000.0,23323856000.0,25.48,29.29,38801311000.0,42.39,7675536000.0,8.39,10396223000.0,11.36,4398976000.0,4.81,517656000.0,0.57,12402883000.0,13.55,91526841000.0,100.0,21450797000.0,24824267000.0,3373470000.0,7450655000.0,-3235276000.0,8358199000.0,2513060000.0,5977205000.0,5977205000.0,-48792000.0,-3087927000.0,0.028653332858337512
2015-11-15,2912.TW,36342057000.0,2.36,2456413000.0,2750950000.0,2750950000.0,119659000.0,53425771000.0,555194000.0,2870609000.0,10396223000.0,11.73,7094000.0,0.01,23420834000.0,26.43,48747232000.0,55.01,29623472000.0,25899928000.0,29.23,33.43,39868565000.0,44.99,8149055000.0,9.2,10396223000.0,11.73,3870404000.0,4.37,637315000.0,0.72,14859296000.0,16.77,88615797000.0,100.0,21450797000.0,23420834000.0,1970037000.0,14376738000.0,-5288431000.0,15880613000.0,3782844000.0,9283349000.0,9283349000.0,-75537000.0,-4458966000.0,-0.04252551003486754
2016-04-01,2912.TW,35105810000.0,1.44,1502424000.0,1853634000.0,1853634000.0,-365483000.0,52415641000.0,544820000.0,1488151000.0,10396223000.0,11.63,7733000.0,0.01,22990314000.0,25.72,49022957000.0,54.85,31091502000.0,27113686000.0,30.33,34.78,40359755000.0,45.15,8605390000.0,9.63,10396223000.0,11.63,3761906000.0,4.21,592536000.0,0.66,16117194000.0,18.03,89382712000.0,100.0,21450797000.0,22990314000.0,1539517000.0,16356547000.0,-7398036000.0,17849019000.0,5084321000.0,11681803000.0,11681803000.0,-106135000.0,-6363925000.0,0.09486582956865101
