date,stock_id,CostOfGoodsSold,EPS,EquityAttributableToOwnersOfParent_x,IncomeAfterTaxes,IncomeFromContinuingOperations,OtherComprehensiveIncome,Revenue,TAX,TotalConsolidatedProfitForThePeriod,CapitalStock,CapitalStock_per,CapitalSurplus,CapitalSurplus_per,CashAndCashEquivalents,CashAndCashEquivalents_per,CurrentAssets,CurrentAssets_per,Equity,EquityAttributableToOwnersOfParent_y,EquityAttributableToOwnersOfParent_per,Equity_per,NoncurrentAssets,NoncurrentAssets_per,NoncurrentLiabilities,NoncurrentLiabilities_per,OrdinaryShare,OrdinaryShare_per,OtherCurrentLiabilities,OtherCurrentLiabilities_per,OtherEquityInterest,OtherEquityInterest_per,RetainedEarnings,RetainedEarnings_per,TotalAssets,TotalAssets_per,CashBalancesBeginningOfPeriod,CashBalancesEndOfPeriod,CashBalancesIncrease,CashFlowsFromOperatingActivities,CashProvidedByInvestingActivities,CashReceivedThroughOperations,Depreciation,IncomeBeforeIncomeTaxFromContinuingOperations,NetIncomeBeforeTax,PayTheInterest,PropertyAndPlantAndEquipment,sharpe_ratio
2013-05-16,5871.TW,2764530000.0,1.53,1386267000.0,1464875000.0,1464875000.0,681201000.0,6488830000.0,569643000.0,2146076000.0,9053004000.0,5.15,9411771000.0,5.35,10649208000.0,6.06,138464262000.0,78.74,27157697000.0,25206106000.0,14.33,15.44,37393471000.0,21.26,23124081000.0,13.15,9053004000.0,5.15,67117191000.0,38.17,272710000.0,0.16,6468621000.0,3.68,175857733000.0,100.0,10064721000.0,10492063000.0,427342000.0,1028807000.0,-1042432000.0,-1597351000.0,389746000.0,2034518000.0,2034518000.0,-943321000.0,-21253000.0,
2013-08-15,5871.TW,2857528000.0,1.64,1482419000.0,1567398000.0,1567398000.0,19836000.0,6998967000.0,625841000.0,1587234000.0,9958304000.0,5.48,9411771000.0,5.18,8230226000.0,4.53,143946921000.0,79.17,26750199000.0,24985813000.0,13.74,14.71,37882713000.0,20.83,28066969000.0,15.44,9053004000.0,4.98,72305557000.0,39.77,380598000.0,0.21,5235140000.0,2.88,181829634000.0,100.0,10064721000.0,8065445000.0,-1999276000.0,-1775608000.0,260342000.0,-6205291000.0,769043000.0,4227757000.0,4227757000.0,-2039531000.0,-48221000.0,-0.061450160101765836
2013-11-15,5871.TW,3157678000.0,1.13,1408542000.0,1489917000.0,1489917000.0,109658000.0,7432371000.0,566358000.0,1599575000.0,9958304000.0,5.39,9411771000.0,5.09,7906997000.0,4.28,145287937000.0,78.57,28349774000.0,26550584000.0,14.36,15.33,39638395000.0,21.43,31548256000.0,17.06,9958304000.0,5.39,74183827000.0,40.12,536827000.0,0.29,6643682000.0,3.59,184926332000.0,100.0,10064721000.0,7725512000.0,-2339209000.0,283069000.0,-973493000.0,-7237479000.0,1133148000.0,6284032000.0,6284032000.0,-2967391000.0,-83852000.0,0.13841336056006565
2014-04-01,5871.TW,4587550000.0,1.61,1605816000.0,1685798000.0,1685798000.0,400857000.0,9491512000.0,606751000.0,2086655000.0,9958304000.0,5.09,9411698000.0,4.81,7586221000.0,3.87,154299190000.0,78.81,30441193000.0,28624443000.0,14.62,15.55,41476760000.0,21.19,34622679000.0,17.68,9958304000.0,5.09,70519514000.0,36.02,973795000.0,0.5,8280646000.0,4.23,195775950000.0,100.0,10064721000.0,7502137000.0,-2562584000.0,3444712000.0,-4611188000.0,-7050578000.0,1491409000.0,8576581000.0,8576581000.0,-3945232000.0,-1709535000.0,0.017715218830477844
2014-05-16,5871.TW,3716498000.0,1.57,1561821000.0,1637803000.0,1637803000.0,30459000.0,8446924000.0,570981000.0,1668262000.0,9958304000.0,4.85,9411698000.0,4.59,7454389000.0,3.63,161427414000.0,78.68,32109455000.0,30155725000.0,14.7,15.65,43754366000.0,21.32,29193108000.0,14.23,9958304000.0,4.85,73363574000.0,35.76,943256000.0,0.46,9842467000.0,4.8,205181780000.0,100.0,7502137000.0,7286636000.0,-215501000.0,2008220000.0,-2370869000.0,-1103941000.0,334016000.0,2208784000.0,2208784000.0,-950737000.0,-49669000.0,0.03275773795412378
2014-08-15,5871.TW,3594684000.0,1.37,1656976000.0,1739482000.0,1739482000.0,-400216000.0,8415107000.0,704510000.0,1339266000.0,10954134000.0,5.19,9411698000.0,4.46,7607684000.0,3.6,166858141000.0,79.05,31289380000.0,29416737000.0,13.94,14.82,44214397000.0,20.95,29945649000.0,14.19,9958304000.0,4.72,76797744000.0,36.38,538953000.0,0.26,8511952000.0,4.03,211072538000.0,100.0,7502137000.0,7510159000.0,8022000.0,2713593000.0,-2418915000.0,-2502792000.0,660884000.0,4652776000.0,4652776000.0,-2010293000.0,-77559000.0,0.24281049816811204
2014-11-15,5871.TW,3747875000.0,1.74,1905870000.0,1989212000.0,1989212000.0,529029000.0,9029376000.0,685135000.0,2518241000.0,10954134000.0,4.83,9411698000.0,4.15,9655671000.0,4.26,179531670000.0,79.17,33805337000.0,31853249000.0,14.05,14.91,47243904000.0,20.83,43856531000.0,19.34,10954134000.0,4.83,75146468000.0,33.14,1069595000.0,0.47,10417822000.0,4.59,226775574000.0,100.0,7502137000.0,9542474000.0,2040337000.0,8085460000.0,-3741856000.0,365768000.0,994477000.0,7327123000.0,7327123000.0,-3064038000.0,-138835000.0,-0.05660653453217151
2015-04-01,5871.TW,3419236000.0,1.55,1700741000.0,1788272000.0,1788272000.0,835715000.0,8661267000.0,561319000.0,2623987000.0,10954134000.0,4.6,9407459000.0,3.95,8338117000.0,3.5,187085720000.0,78.63,36429081000.0,34338712000.0,14.43,15.31,50850837000.0,21.37,47413244000.0,19.93,10954134000.0,4.6,83390526000.0,35.05,1844301000.0,0.78,12132818000.0,5.1,237936557000.0,100.0,7502137000.0,8330204000.0,828067000.0,8062473000.0,-4577912000.0,-3292765000.0,1325494000.0,9676714000.0,9676714000.0,-4277275000.0,-162770000.0,0.07167657112823633
2015-05-16,5871.TW,3224883000.0,1.56,1709446000.0,1795176000.0,1795176000.0,-196315000.0,8503049000.0,592734000.0,1598861000.0,10954134000.0,4.46,9407459000.0,3.83,12872757000.0,5.25,193380132000.0,78.81,38027942000.0,35853252000.0,14.61,15.5,52000709000.0,21.19,52250147000.0,21.29,10954134000.0,4.46,87778585000.0,35.77,1649395000.0,0.67,13842264000.0,5.64,245380841000.0,100.0,8330204000.0,12867143000.0,4536939000.0,3239363000.0,1372437000.0,-128369000.0,382037000.0,2387910000.0,2387910000.0,-1159686000.0,-40024000.0,0.011070880778894012
2015-08-15,5871.TW,3824457000.0,1.44,1706985000.0,1790061000.0,1790061000.0,-478522000.0,9092260000.0,653679000.0,1311539000.0,11392299000.0,4.57,9407341000.0,3.78,10577561000.0,4.25,196000033000.0,78.67,36051671000.0,34116939000.0,13.69,14.47,53133597000.0,21.33,41789131000.0,16.77,10954134000.0,4.4,101441495000.0,40.72,1273373000.0,0.51,12043926000.0,4.83,249133630000.0,100.0,8330204000.0,10556820000.0,2226616000.0,1803078000.0,786781000.0,-4144664000.0,769113000.0,4831650000.0,4831650000.0,-2419857000.0,-65223000.0,-0.1843401264871362
