,0
Annual return,-0.443032666496318
Cumulative returns,-0.025223017176249973
Annual volatility,0.1831791809805628
Sharpe ratio,-3.427162507686144
Calmar ratio,-9.905539922040045
Stability,0.6308438931725261
Max drawdown,-0.04472574639879655
Omega ratio,0.5731841720894555
Sortino ratio,-4.123885274584103
Skew,
Kurtosis,
Tail ratio,0.6538589479332292
Daily value at risk,-0.025569617143309454
